,plot_id,row_num,range_num,NDVI_mean,SAVI_mean,GCI_mean,0_mean,1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,9_mean,10_mean,11_mean,12_mean,13_mean,14_mean,15_mean,16_mean,17_mean,18_mean,19_mean,20_mean,21_mean,22_mean,23_mean,24_mean,25_mean,26_mean,27_mean,28_mean,29_mean,30_mean,31_mean,32_mean,33_mean,34_mean,35_mean,36_mean,37_mean,38_mean,39_mean,40_mean,41_mean,42_mean,43_mean,44_mean,45_mean,46_mean,47_mean,48_mean,49_mean,50_mean,51_mean,52_mean,53_mean,54_mean,55_mean,56_mean,57_mean,58_mean,59_mean,60_mean,61_mean,62_mean,63_mean,64_mean,65_mean,66_mean,67_mean,68_mean,69_mean,70_mean,71_mean,72_mean,73_mean,74_mean,75_mean,76_mean,77_mean,78_mean,79_mean,80_mean,81_mean,82_mean,83_mean,84_mean,85_mean,86_mean,87_mean,88_mean,89_mean
0,0,0,0,0.50209635724955,0.4370227312047045,-0.28117285575733375,0.003502660825508264,-0.24133710473645092,-0.2605741570659761,-0.16571224465349468,-0.17906508792475415,-0.5464640225694729,-0.4743113881797089,-0.39750413304749826,-0.5375632782065196,-0.003502660825508264,-0.24439922581792906,-0.2634594074043052,-0.16857942967531045,-0.18192764416822915,-0.5473717175042565,-0.47597758565204595,-0.39978582830906123,-0.5384989294539145,0.24133710473645092,0.24439922581792906,-0.022911589127000385,0.08432863577438612,0.07077862581325878,-0.481980430399011,-0.3429035797828071,-0.2123146021198634,-0.46401355530243743,0.2605741570659761,0.2634594074043052,0.022911589127000385,0.106471026041543,0.09313469315320624,-0.47299734029187235,-0.32670072589158444,-0.19200310004779672,-0.4539704550487561,0.16571224465349468,0.16857942967531045,-0.08432863577438612,-0.106471026041543,-0.014214162330156451,-0.50209635724955,-0.38920133718413813,-0.280286466637472,-0.48735267655696457,0.17906508792475415,0.18192764416822915,-0.07077862581325878,-0.09313469315320624,0.014214162330156451,-0.4992415981603036,-0.38251086445240856,-0.2701140980472461,-0.48400406181721123,0.5464640225694729,0.5473717175042565,0.481980430399011,0.47299734029187235,0.50209635724955,0.4992415981603036,0.257947481142404,0.37529206639265056,0.047104657321676305,0.4743113881797089,0.47597758565204595,0.3429035797828071,0.32670072589158444,0.38920133718413813,0.38251086445240856,-0.257947481142404,0.1633453044669454,-0.2183484645920729,0.39750413304749826,0.39978582830906123,0.2123146021198634,0.19200310004779672,0.280286466637472,0.2701140980472461,-0.37529206639265056,-0.1633453044669454,-0.3454235634024122,0.5375632782065196,0.5384989294539145,0.46401355530243743,0.4539704550487561,0.48735267655696457,0.48400406181721123,-0.047104657321676305,0.2183484645920729,0.3454235634024122
1,0,0,0,0.50209635724955,0.4370227312047045,-0.28117285575733375,0.003502660825508264,-0.24133710473645092,-0.2605741570659761,-0.16571224465349468,-0.17906508792475415,-0.5464640225694729,-0.4743113881797089,-0.39750413304749826,-0.5375632782065196,-0.003502660825508264,-0.24439922581792906,-0.2634594074043052,-0.16857942967531045,-0.18192764416822915,-0.5473717175042565,-0.47597758565204595,-0.39978582830906123,-0.5384989294539145,0.24133710473645092,0.24439922581792906,-0.022911589127000385,0.08432863577438612,0.07077862581325878,-0.481980430399011,-0.3429035797828071,-0.2123146021198634,-0.46401355530243743,0.2605741570659761,0.2634594074043052,0.022911589127000385,0.106471026041543,0.09313469315320624,-0.47299734029187235,-0.32670072589158444,-0.19200310004779672,-0.4539704550487561,0.16571224465349468,0.16857942967531045,-0.08432863577438612,-0.106471026041543,-0.014214162330156451,-0.50209635724955,-0.38920133718413813,-0.280286466637472,-0.48735267655696457,0.17906508792475415,0.18192764416822915,-0.07077862581325878,-0.09313469315320624,0.014214162330156451,-0.4992415981603036,-0.38251086445240856,-0.2701140980472461,-0.48400406181721123,0.5464640225694729,0.5473717175042565,0.481980430399011,0.47299734029187235,0.50209635724955,0.4992415981603036,0.257947481142404,0.37529206639265056,0.047104657321676305,0.4743113881797089,0.47597758565204595,0.3429035797828071,0.32670072589158444,0.38920133718413813,0.38251086445240856,-0.257947481142404,0.1633453044669454,-0.2183484645920729,0.39750413304749826,0.39978582830906123,0.2123146021198634,0.19200310004779672,0.280286466637472,0.2701140980472461,-0.37529206639265056,-0.1633453044669454,-0.3454235634024122,0.5375632782065196,0.5384989294539145,0.46401355530243743,0.4539704550487561,0.48735267655696457,0.48400406181721123,-0.047104657321676305,0.2183484645920729,0.3454235634024122
2,1,0,1,0.6260655847734792,0.5466974385382375,-0.35979702485831777,0.007387756125505235,-0.30361860003187624,-0.3224006977465157,-0.20202772183591958,-0.22068759902431753,-0.6768426300721142,-0.5879335370525368,-0.49445843095208086,-0.6649458209883677,-0.007387756125505235,-0.31023330423705464,-0.3285078085201198,-0.20829402483602683,-0.22671722943909292,-0.6786312898416279,-0.5913156711619083,-0.4988289401595541,-0.6669711994708221,0.30361860003187624,0.31023330423705464,-0.022227977580965445,0.1135357805235514,0.09483291444068087,-0.6019672697656507,-0.42606971546781075,-0.2625939451107803,-0.5775973000253619,0.3224006977465157,0.3285078085201198,0.022227977580965445,0.1348801104939844,0.11649165307156224,-0.5939319016928631,-0.41065311284838396,-0.24313299772911587,-0.5684442616896477,0.20202772183591958,0.20829402483602683,-0.1135357805235514,-0.1348801104939844,-0.019772848962052367,-0.6260655847734792,-0.48613976996836,-0.3532252285062684,-0.6061237468232972,0.22068759902431753,0.22671722943909292,-0.09483291444068087,-0.11649165307156224,0.019772848962052367,-0.6225735578896471,-0.47722504706161095,-0.33943133549137267,-0.6019784114625524,0.6768426300721142,0.6786312898416279,0.6019672697656507,0.5939319016928631,0.6260655847734792,0.6225735578896471,0.3352726413052278,0.4772572530848513,0.06755541907569357,0.5879335370525368,0.5913156711619083,0.42606971546781075,0.41065311284838396,0.48613976996836,0.47722504706161095,-0.3352726413052278,0.20544696977632623,-0.27969996028842664,0.49445843095208086,0.4988289401595541,0.2625939451107803,0.24313299772911587,0.3532252285062684,0.33943133549137267,-0.4772572530848513,-0.20544696977632623,-0.4361196690910098,0.6649458209883677,0.6669711994708221,0.5775973000253619,0.5684442616896477,0.6061237468232972,0.6019784114625524,-0.06755541907569357,0.27969996028842664,0.4361196690910098
3,2,0,2,0.8027029502571748,0.6953979235331962,-0.48463840775864875,0.002020106836294172,-0.40174644457862413,-0.42014274731614926,-0.21589166028490617,-0.25126415081984294,-0.8436677347680701,-0.7402974850269638,-0.6231418231518614,-0.8302962063362915,-0.002020106836294172,-0.4039498995080294,-0.4222686720919324,-0.21746251131797661,-0.2529287862186003,-0.844364572052306,-0.7414298019653119,-0.6244035625832784,-0.8311326219732863,0.40174644457862413,0.4039498995080294,-0.022623577148431998,0.20680301608238724,0.17168258578874607,-0.7561670816889449,-0.5342049098478524,-0.3182353833469118,-0.7260650317065863,0.42014274731614926,0.4222686720919324,0.022623577148431998,0.22815369888576756,0.1933795854772955,-0.7490294978318622,-0.5192273774546605,-0.29847733104160706,-0.7176553287227395,0.21589166028490617,0.21746251131797661,-0.20680301608238724,-0.22815369888576756,-0.03757414377043733,-0.8027029502571748,-0.6463795126762997,-0.48372314827602025,-0.7814099296483715,0.25126415081984294,0.2529287862186003,-0.17168258578874607,-0.1933795854772955,0.03757414377043733,-0.7958886614808468,-0.6294142887831352,-0.4576814657958406,-0.7732838223881594,0.8436677347680701,0.844364572052306,0.7561670816889449,0.7490294978318622,0.8027029502571748,0.7958886614808468,0.4411235057296801,0.6201849076894121,0.09261932794068294,0.7402974850269638,0.7414298019653119,0.5342049098478524,0.5192273774546605,0.6463795126762997,0.6294142887831352,-0.4411235057296801,0.27259901730415714,-0.36750408785631067,0.6231418231518614,0.6244035625832784,0.3182353833469118,0.29847733104160706,0.48372314827602025,0.4576814657958406,-0.6201849076894121,-0.27259901730415714,-0.5682341630056449,0.8302962063362915,0.8311326219732863,0.7260650317065863,0.7176553287227395,0.7814099296483715,0.7732838223881594,-0.09261932794068294,0.36750408785631067,0.5682341630056449
4,3,0,3,0.6861405379315125,0.6079444552780866,-0.40860493163177275,0.005183360257273039,-0.3455688112817424,-0.36375798380527863,-0.21901399555708032,-0.2479643896920828,-0.7399299638741093,-0.6444070712775615,-0.5454012734937062,-0.7266240395115501,-0.005183360257273039,-0.3501316815719881,-0.3682334878150036,-0.22323611076444508,-0.2522702355096687,-0.7414143023031823,-0.6470368674525923,-0.548653958572136,-0.72834664874286,0.3455688112817424,0.3501316815719881,-0.02210246336900579,0.14207842320771055,0.11277338360538394,-0.6546141178879993,-0.458977223171292,-0.2810477863085037,-0.6264066507951203,0.36375798380527863,0.3682334878150036,0.02210246336900579,0.1632137577733517,0.13415244340101024,-0.646434266401877,-0.44347185084194946,-0.2615151517863092,-0.6169734560603476,0.21901399555708032,0.22323611076444508,-0.14207842320771055,-0.1632137577733517,-0.031141257423992656,-0.6861405379315125,-0.5357758305592469,-0.3948082412697589,-0.663982184698056,0.2479643896920828,0.2522702355096687,-0.11277338360538394,-0.13415244340101024,0.031141257423992656,-0.6795775001161365,-0.5207689554698165,-0.3726362992209228,-0.6562377710219943,0.7399299638741093,0.7414143023031823,0.6546141178879993,0.646434266401877,0.6861405379315125,0.6795775001161365,0.3676394750804457,0.5206139754161234,0.0772929067633965,0.6444070712775615,0.6470368674525923,0.458977223171292,0.44347185084194946,0.5357758305592469,0.5207689554698165,-0.3676394750804457,0.2220860876969194,-0.30407747555576164,0.5454012734937062,0.548653958572136,0.2810477863085037,0.2615151517863092,0.3948082412697589,0.3726362992209228,-0.5206139754161234,-0.2220860876969194,-0.47355449193379867,0.7266240395115501,0.72834664874286,0.6264066507951203,0.6169734560603476,0.663982184698056,0.6562377710219943,-0.0772929067633965,0.30407747555576164,0.47355449193379867
5,4,0,4,0.7774226430927622,0.6715592201798561,-0.4574720323700888,0.0026748099175901803,-0.3883131433492366,-0.4059128545326187,-0.21703293975545665,-0.2536884296779814,-0.8234227526842953,-0.719966676681758,-0.6055230656933017,-0.8097192956109882,-0.0026748099175901803,-0.3907722496767105,-0.40827510873748146,-0.21911671483376896,-0.2557782651737832,-0.8242408352156998,-0.7213429506781521,-0.6072159813858102,-0.8106953030036804,0.3883131433492366,0.3907722496767105,-0.021469090081387008,0.19008722255605856,0.15385538156967238,-0.7339945377105584,-0.5167788731863394,-0.30901288342265676,-0.7039214550593337,0.4059128545326187,0.40827510873748146,0.021469090081387008,0.21038498061804445,0.17449439253364696,-0.7267063156448026,-0.5021683001471643,-0.2900720260926482,-0.6953879028517961,0.21703293975545665,0.21911671483376896,-0.19008722255605856,-0.21038498061804445,-0.03887710857393099,-0.7774226430927622,-0.6200464461950428,-0.4613588165103115,-0.7553985002771192,0.2536884296779814,0.2557782651737832,-0.15385538156967238,-0.17449439253364696,0.03887710857393099,-0.7701295266188246,-0.602343139345667,-0.4343422724847766,-0.7467259886210516,0.8234227526842953,0.8242408352156998,0.7339945377105584,0.7267063156448026,0.7774226430927622,0.7701295266188246,0.4206108120181454,0.5957158194433223,0.08788434085458002,0.719966676681758,0.7213429506781521,0.5167788731863394,0.5021683001471643,0.6200464461950428,0.602343139345667,-0.4206108120181454,0.26034323097317386,-0.34959817375394076,0.6055230656933017,0.6072159813858102,0.30901288342265676,0.2900720260926482,0.4613588165103115,0.4343422724847766,-0.5957158194433223,-0.26034323097317386,-0.5446700708170295,0.8097192956109882,0.8106953030036804,0.7039214550593337,0.6953879028517961,0.7553985002771192,0.7467259886210516,-0.08788434085458002,0.34959817375394076,0.5446700708170295
6,5,0,5,0.6118079727036404,0.5215325530032228,-0.33648775036789547,0.005559771628856095,-0.2949714812611804,-0.31355190657558585,-0.2010490030558326,-0.22100798336590255,-0.6632423245801701,-0.5748050581785612,-0.4844232664571579,-0.6504424893600965,-0.005559771628856095,-0.2999111872716866,-0.3183769158953035,-0.20573198269874873,-0.22569976640570114,-0.6647334259199582,-0.5774704479294467,-0.4878337317263833,-0.6521782847669612,0.2949714812611804,0.2999111872716866,-0.022098290772149868,0.10505315336727154,0.08495970737596927,-0.5901204161553525,-0.4169140506906063,-0.25969373352383346,-0.5645437073620112,0.31355190657558585,0.3183769158953035,0.022098290772149868,0.12627199983486703,0.10642236590190787,-0.5819953547188991,-0.40152901720978257,-0.24031211333062447,-0.5551370213277266,0.2010490030558326,0.20573198269874873,-0.10505315336727154,-0.12627199983486703,-0.02126916622269063,-0.6118079727036404,-0.4720164325815018,-0.3431986482360924,-0.5903063976008794,0.22100798336590255,0.22569976640570114,-0.08495970737596927,-0.10642236590190787,0.02126916622269063,-0.607580248004531,-0.46205799436590494,-0.3281491417189375,-0.5853070898899503,0.6632423245801701,0.6647334259199582,0.5901204161553525,0.5819953547188991,0.6118079727036404,0.607580248004531,0.32906320451561344,0.46571611242285393,0.07023930280499356,0.5748050581785612,0.5774704479294467,0.4169140506906063,0.40152901720978257,0.4720164325815018,0.46205799436590494,-0.32906320451561344,0.1978769692207087,-0.2711678212950631,0.4844232664571579,0.4878337317263833,0.25969373352383346,0.24031211333062447,0.3431986482360924,0.3281491417189375,-0.46571611242285393,-0.1978769692207087,-0.4224444435723618,0.6504424893600965,0.6521782847669612,0.5645437073620112,0.5551370213277266,0.5903063976008794,0.5853070898899503,-0.07023930280499356,0.2711678212950631,0.4224444435723618
7,6,0,6,0.6624989406999576,0.5747615224898646,-0.3764160712672647,0.006829169169373572,-0.33015475125561455,-0.34968668548726123,-0.21816724010290844,-0.24268997104125692,-0.7162869643275844,-0.6231377494280119,-0.5272322458841135,-0.7032743318633157,-0.006829169169373572,-0.33603912175499984,-0.3554524461791862,-0.22396383201397668,-0.24835958830440732,-0.7180083431807224,-0.6263700323649816,-0.5313106755274414,-0.7052905947943108,0.33015475125561455,0.33603912175499984,-0.023542471621360837,0.1258561578653074,0.10123390653609554,-0.6352404203576786,-0.4468394294504304,-0.27607798400404304,-0.6081397264844157,0.34968668548726123,0.3554524461791862,0.023542471621360837,0.14845832543488025,0.1240946848381127,-0.6267054234273454,-0.4304998852229295,-0.25519421147665616,-0.59825116966249,0.21816724010290844,0.22396383201397668,-0.1258561578653074,-0.14845832543488025,-0.026276741666682504,-0.6624989406999576,-0.5137351237133077,-0.3758567936253321,-0.6403697510936918,0.24268997104125692,0.24835958830440732,-0.10123390653609554,-0.1240946848381127,0.026276741666682504,-0.6574313259396921,-0.5015880671241351,-0.357781180375644,-0.6343811837889423,0.7162869643275844,0.7180083431807224,0.6352404203576786,0.6267054234273454,0.6624989406999576,0.6574313259396921,0.35647473252147555,0.5041764087493456,0.07471525723106591,0.6231377494280119,0.6263700323649816,0.4468394294504304,0.4304998852229295,0.5137351237133077,0.5015880671241351,-0.35647473252147555,0.21419946559986433,-0.2950849793597333,0.5272322458841135,0.5313106755274414,0.27607798400404304,0.25519421147665616,0.3758567936253321,0.357781180375644,-0.5041764087493456,-0.21419946559986433,-0.45851736201311377,0.7032743318633157,0.7052905947943108,0.6081397264844157,0.59825116966249,0.6403697510936918,0.6343811837889423,-0.07471525723106591,0.2950849793597333,0.45851736201311377
8,7,0,7,0.7779150673110601,0.6740190365369894,-0.46140361057283813,0.004871943970777502,-0.3885132145566461,-0.4070821623115418,-0.21769729013283048,-0.25175158090172856,-0.8241031216789856,-0.7204572889704833,-0.6067820528233551,-0.8102470915475727,-0.004871943970777502,-0.3925982445081229,-0.41121516171103434,-0.22167472422442935,-0.2557407741496552,-0.8252161518770714,-0.722705284728481,-0.6095223898101332,-0.8115655520574955,0.3885132145566461,0.3925982445081229,-0.02286197850517176,0.18961714525056697,0.15559526365941784,-0.7347136654079711,-0.5167285205838321,-0.31045921709107616,-0.704280230605292,0.4070821623115418,0.41121516171103434,0.02286197850517176,0.21122997371731833,0.1776412411738122,-0.7269698032809458,-0.5012729701658903,-0.2902616574780501,-0.695229633219429,0.21769729013283048,0.22167472422442935,-0.18961714525056697,-0.21122997371731833,-0.03627681445432849,-0.7779150673110601,-0.620427317893196,-0.4625754429760082,-0.7556118910575702,0.25175158090172856,0.2557407741496552,-0.15559526365941784,-0.1776412411738122,0.03627681445432849,-0.77079498383666,-0.603530943134216,-0.4371606011794043,-0.7471448378242741,0.8241031216789856,0.8252161518770714,0.7347136654079711,0.7269698032809458,0.7779150673110601,0.77079498383666,0.4220922904162248,0.5954852168908936,0.08870763211560823,0.7204572889704833,0.722705284728481,0.5167285205838321,0.5012729701658903,0.620427317893196,0.603530943134216,-0.4220922904162248,0.25874083562115113,-0.3505265627287266,0.6067820528233551,0.6095223898101332,0.31045921709107616,0.2902616574780501,0.4625754429760082,0.4371606011794043,-0.5954852168908936,-0.25874083562115113,-0.5438915460685807,0.8102470915475727,0.8115655520574955,0.704280230605292,0.695229633219429,0.7556118910575702,0.7471448378242741,-0.08870763211560823,0.3505265627287266,0.5438915460685807
9,8,0,8,0.6309145309841182,0.5527180972304656,-0.3628997109268835,0.0048247252820737925,-0.31173725521715556,-0.3301442722553703,-0.20526657915263205,-0.22851400727192775,-0.6838981749902402,-0.5957778133650352,-0.5051467425725081,-0.6717401905456962,-0.0048247252820737925,-0.31603160977579875,-0.33442762609974463,-0.2092082924194159,-0.23246199014453692,-0.6853337610713551,-0.598233357777038,-0.5081782183042315,-0.6734114453632474,0.31173725521715556,0.31603160977579875,-0.022124505811044862,0.11932175133828617,0.09586479786558079,-0.60439266641476,-0.42884459181459317,-0.2686473865964661,-0.5796652670661944,0.3301442722553703,0.33442762609974463,0.022124505811044862,0.14049898848713815,0.1173484534430152,-0.5961118753263639,-0.4133894983127149,-0.24925202419535142,-0.5702079201724017,0.20526657915263205,0.2092082924194159,-0.11932175133828617,-0.14049898848713815,-0.024903115153617962,-0.6309145309841182,-0.49219134079056326,-0.363138058840395,-0.610529017763122,0.22851400727192775,0.23246199014453692,-0.09586479786558079,-0.1173484534430152,0.024903115153617962,-0.6255351157756203,-0.48037199326929414,-0.34566084443218636,-0.6043396930772218,0.6838981749902402,0.6853337610713551,0.60439266641476,0.5961118753263639,0.6309145309841182,0.6255351157756203,0.3301997377651134,0.47207289749082504,0.06648515228078508,0.5957778133650352,0.598233357777038,0.42884459181459317,0.4133894983127149,0.49219134079056326,0.48037199326929414,-0.3301997377651134,0.20153490937868415,-0.2749239483930368,0.5051467425725081,0.5081782183042315,0.2686473865964661,0.24925202419535142,0.363138058840395,0.34566084443218636,-0.47207289749082504,-0.20153490937868415,-0.4304314154967235,0.6717401905456962,0.6734114453632474,0.5796652670661944,0.5702079201724017,0.610529017763122,0.6043396930772218,-0.06648515228078508,0.2749239483930368,0.4304314154967235
