,plot_id,origin,width,height,0_mean,1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,9_mean,10_mean,11_mean,12_mean,13_mean,14_mean,15_mean,16_mean,17_mean,18_mean,19_mean,20_mean,21_mean,22_mean,23_mean,24_mean,25_mean,26_mean,27_mean,28_mean,29_mean,30_mean,31_mean,32_mean,33_mean,34_mean,35_mean,36_mean,37_mean,38_mean,39_mean,40_mean,41_mean,42_mean,43_mean,44_mean,45_mean,46_mean,47_mean,48_mean,49_mean,50_mean,51_mean,52_mean,53_mean,54_mean,55_mean,56_mean,57_mean,58_mean,59_mean,60_mean,61_mean,62_mean,63_mean,64_mean,65_mean,66_mean,67_mean,68_mean,69_mean,70_mean,71_mean,72_mean,73_mean,74_mean,75_mean,76_mean,77_mean,78_mean,79_mean,80_mean,81_mean,82_mean,83_mean,84_mean,85_mean,86_mean,87_mean,88_mean,89_mean,90_mean,91_mean,92_mean,93_mean,94_mean,95_mean,96_mean,97_mean,98_mean,99_mean
0,0,70,160,332,0.009685264907679316,-0.34043065857685445,-0.36574529953419205,-0.26164112135078155,-0.27818696101731044,-0.7896195774900989,-0.6822125765961314,-0.5789062615886509,-0.7738743136787773,-0.009685264907679316,-0.3493745103223736,-0.37427656255614405,-0.26929719302912314,-0.2859288284969714,-0.7931638626933788,-0.687558153496314,-0.5852982991309784,-0.7776929743283704,0.34043065857685445,0.3493745103223736,-0.029386703058433987,0.08707974976676132,0.07112128614725305,-0.6948892655833496,-0.4938311781688159,-0.31755922282237875,-0.6653715160278113,0.36574529953419205,0.37427656255614405,0.029386703058433987,0.11512069326436897,0.09953595753956485,-0.6820870020512227,-0.47249905447666624,-0.29176056808178535,-0.6511306324093467,0.26164112135078155,0.26929719302912314,-0.08707974976676132,-0.11512069326436897,-0.016824575909010386,-0.6957509877294638,-0.5276562802974792,-0.38235129841681786,-0.669340574745179,0.27818696101731044,0.2859288284969714,-0.07112128614725305,-0.09953595753956485,0.016824575909010386,-0.6952650490251473,-0.5221146381271204,-0.371722018920357,-0.6683181473434175,0.7896195774900989,0.7931638626933788,0.6948892655833496,0.6820870020512227,0.6957509877294638,0.6952650490251473,0.36889718533637283,0.5245252350405021,0.07376409950325336,0.6822125765961314,0.687558153496314,0.4938311781688159,0.47249905447666624,0.5276562802974792,0.5221146381271204,-0.36889718533637283,0.22032086696659733,-0.3067289591177125,0.5789062615886509,0.5852982991309784,0.31755922282237875,0.29176056808178535,0.38235129841681786,0.371722018920357,-0.5245252350405021,-0.22032086696659733,-0.4765570040309023,0.7738743136787773,0.7776929743283704,0.6653715160278113,0.6511306324093467,0.669340574745179,0.6683181473434175,-0.07376409950325336,0.3067289591177125,0.4765570040309023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,6938,160,332,0.009685264907679316,-0.34043065857685445,-0.36574529953419205,-0.26164112135078155,-0.27818696101731044,-0.7896195774900989,-0.6822125765961314,-0.5789062615886509,-0.7738743136787773,-0.009685264907679316,-0.3493745103223736,-0.37427656255614405,-0.26929719302912314,-0.2859288284969714,-0.7931638626933788,-0.687558153496314,-0.5852982991309784,-0.7776929743283704,0.34043065857685445,0.3493745103223736,-0.029386703058433987,0.08707974976676132,0.07112128614725305,-0.6948892655833496,-0.4938311781688159,-0.31755922282237875,-0.6653715160278113,0.36574529953419205,0.37427656255614405,0.029386703058433987,0.11512069326436897,0.09953595753956485,-0.6820870020512227,-0.47249905447666624,-0.29176056808178535,-0.6511306324093467,0.26164112135078155,0.26929719302912314,-0.08707974976676132,-0.11512069326436897,-0.016824575909010386,-0.6957509877294638,-0.5276562802974792,-0.38235129841681786,-0.669340574745179,0.27818696101731044,0.2859288284969714,-0.07112128614725305,-0.09953595753956485,0.016824575909010386,-0.6952650490251473,-0.5221146381271204,-0.371722018920357,-0.6683181473434175,0.7896195774900989,0.7931638626933788,0.6948892655833496,0.6820870020512227,0.6957509877294638,0.6952650490251473,0.36889718533637283,0.5245252350405021,0.07376409950325336,0.6822125765961314,0.687558153496314,0.4938311781688159,0.47249905447666624,0.5276562802974792,0.5221146381271204,-0.36889718533637283,0.22032086696659733,-0.3067289591177125,0.5789062615886509,0.5852982991309784,0.31755922282237875,0.29176056808178535,0.38235129841681786,0.371722018920357,-0.5245252350405021,-0.22032086696659733,-0.4765570040309023,0.7738743136787773,0.7776929743283704,0.6653715160278113,0.6511306324093467,0.669340574745179,0.6683181473434175,-0.07376409950325336,0.3067289591177125,0.4765570040309023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,"(70, 6938)",160,332,0.009685264907679316,-0.34043065857685445,-0.36574529953419205,-0.26164112135078155,-0.27818696101731044,-0.7896195774900989,-0.6822125765961314,-0.5789062615886509,-0.7738743136787773,-0.009685264907679316,-0.3493745103223736,-0.37427656255614405,-0.26929719302912314,-0.2859288284969714,-0.7931638626933788,-0.687558153496314,-0.5852982991309784,-0.7776929743283704,0.34043065857685445,0.3493745103223736,-0.029386703058433987,0.08707974976676132,0.07112128614725305,-0.6948892655833496,-0.4938311781688159,-0.31755922282237875,-0.6653715160278113,0.36574529953419205,0.37427656255614405,0.029386703058433987,0.11512069326436897,0.09953595753956485,-0.6820870020512227,-0.47249905447666624,-0.29176056808178535,-0.6511306324093467,0.26164112135078155,0.26929719302912314,-0.08707974976676132,-0.11512069326436897,-0.016824575909010386,-0.6957509877294638,-0.5276562802974792,-0.38235129841681786,-0.669340574745179,0.27818696101731044,0.2859288284969714,-0.07112128614725305,-0.09953595753956485,0.016824575909010386,-0.6952650490251473,-0.5221146381271204,-0.371722018920357,-0.6683181473434175,0.7896195774900989,0.7931638626933788,0.6948892655833496,0.6820870020512227,0.6957509877294638,0.6952650490251473,0.36889718533637283,0.5245252350405021,0.07376409950325336,0.6822125765961314,0.687558153496314,0.4938311781688159,0.47249905447666624,0.5276562802974792,0.5221146381271204,-0.36889718533637283,0.22032086696659733,-0.3067289591177125,0.5789062615886509,0.5852982991309784,0.31755922282237875,0.29176056808178535,0.38235129841681786,0.371722018920357,-0.5245252350405021,-0.22032086696659733,-0.4765570040309023,0.7738743136787773,0.7776929743283704,0.6653715160278113,0.6511306324093467,0.669340574745179,0.6683181473434175,-0.07376409950325336,0.3067289591177125,0.4765570040309023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,"(70, 6446)",160,332,0.01081716038255198,-0.3815596891647504,-0.40587232462003064,-0.27826937052841855,-0.3026209683954163,-0.8570179200551923,-0.7413199946981512,-0.6319101179024887,-0.8384592699329293,-0.01081716038255198,-0.39191257649915856,-0.415549576229737,-0.28666219107709134,-0.31072650070753893,-0.8613543848814781,-0.7477389805212186,-0.6389678333195157,-0.8433361255736068,0.3815596891647504,0.39191257649915856,-0.028279017683363727,0.11442190432657835,0.09069759035821884,-0.757261785385745,-0.5328675359572641,-0.3394068751666241,-0.7216717213921727,0.40587232462003064,0.415549576229737,0.028279017683363727,0.141308579332126,0.11798188614627665,-0.7454953612358529,-0.5123896154194274,-0.3146546511287434,-0.7083286124969572,0.27826937052841855,0.28666219107709134,-0.11442190432657835,-0.141308579332126,-0.025273416292652996,-0.7616198745811938,-0.5798155034993637,-0.42575162540702516,-0.730201384671038,0.3026209683954163,0.31072650070753893,-0.09069759035821884,-0.11798188614627665,0.025273416292652996,-0.7589142027870058,-0.5697458313055563,-0.40887767799646335,-0.7266485972864467,0.8570179200551923,0.8613543848814781,0.757261785385745,0.7454953612358529,0.7616198745811938,0.7589142027870058,0.4185171366271927,0.5827637771047343,0.09251619756448627,0.7413199946981512,0.7477389805212186,0.5328675359572641,0.5123896154194274,0.5798155034993637,0.5697458313055563,-0.4185171366271927,0.24181182342633278,-0.3421191256219426,0.6319101179024887,0.6389678333195157,0.3394068751666241,0.3146546511287434,0.42575162540702516,0.40887767799646335,-0.5827637771047343,-0.24181182342633278,-0.5246742695713696,0.8384592699329293,0.8433361255736068,0.7216717213921727,0.7083286124969572,0.730201384671038,0.7266485972864467,-0.09251619756448627,0.3421191256219426,0.5246742695713696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,"(70, 5954)",160,332,0.0019232898824005867,-0.42247566145488236,-0.4423707436394096,-0.23208096895968286,-0.26859501861257234,-0.8983156040997629,-0.7854916792624705,-0.6609464898882678,-0.8833549842644571,-0.0019232898824005867,-0.4247148326200924,-0.44445202498751923,-0.23321386443050626,-0.2700534517576522,-0.8995448660607729,-0.7870343479229998,-0.6623765014154414,-0.8847537760012189,0.42247566145488236,0.4247148326200924,-0.024199414118915897,0.2107876608711899,0.17490316325275784,-0.8062482379435246,-0.5672122913689073,-0.3392018688392003,-0.7733943740610615,0.4423707436394096,0.44445202498751923,0.024199414118915897,0.23357097485992256,0.19803430936466215,-0.7982613247548797,-0.5509492287584965,-0.3180437032524216,-0.7640456904675823,0.23208096895968286,0.23321386443050626,-0.2107876608711899,-0.23357097485992256,-0.03851394828219372,-0.8481147590847485,-0.6782576269323676,-0.5067897800008824,-0.8243846678447835,0.26859501861257234,0.2700534517576522,-0.17490316325275784,-0.19803430936466215,0.03851394828219372,-0.8421341364275374,-0.6616343353174591,-0.48047761114335263,-0.817038245852576,0.8983156040997629,0.8995448660607729,0.8062482379435246,0.7982613247548797,0.8481147590847485,0.8421341364275374,0.4741299262353884,0.6601793437935864,0.10108661098853915,0.7854916792624705,0.7870343479229998,0.5672122913689073,0.5509492287584965,0.6782576269323676,0.6616343353174591,-0.4741299262353884,0.2873177415785657,-0.3942683401648484,0.6609464898882678,0.6623765014154414,0.3392018688392003,0.3180437032524216,0.5067897800008824,0.48047761114335263,-0.6601793437935864,-0.2873177415785657,-0.6038536109364304,0.8833549842644571,0.8847537760012189,0.7733943740610615,0.7640456904675823,0.8243846678447835,0.817038245852576,-0.10108661098853915,0.3942683401648484,0.6038536109364304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,"(70, 5462)",160,332,0.011464401604848184,-0.3610110376227863,-0.3843610794784491,-0.2655336620702622,-0.29069688604471355,-0.8126583355293602,-0.7012007613573348,-0.598898641281218,-0.7947225166534467,-0.011464401604848184,-0.3715559969628036,-0.3946675355778233,-0.2746805784415056,-0.30001931575673946,-0.8170858935985097,-0.7078454395679326,-0.6064003513724358,-0.7997053753813419,0.3610110376227863,0.3715559969628036,-0.027218491692741598,0.10640498764559576,0.08177220713334306,-0.7142857755807851,-0.5006713177541295,-0.32074537118910024,-0.6802505076348174,0.3843610794784491,0.3946675355778233,0.027218491692741598,0.1322872924026187,0.10798756392183337,-0.702066254984025,-0.48055097466027175,-0.2967011424521966,-0.6664708231005017,0.2655336620702622,0.2746805784415056,-0.10640498764559576,-0.1322872924026187,-0.026377643822793367,-0.7174440838618196,-0.5439739277237796,-0.40061271235656887,-0.6876441374774558,0.29069688604471355,0.30001931575673946,-0.08177220713334306,-0.10798756392183337,0.026377643822793367,-0.7143414146719078,-0.5332724743837208,-0.3830465874420202,-0.6836301700227958,0.8126583355293602,0.8170858935985097,0.7142857755807851,0.702066254984025,0.7174440838618196,0.7143414146719078,0.3892614469247011,0.5435770578873952,0.08580591565283428,0.7012007613573348,0.7078454395679326,0.5006713177541295,0.48055097466027175,0.5439739277237796,0.5332724743837208,-0.3892614469247011,0.2234331870039016,-0.31771825456966557,0.598898641281218,0.6064003513724358,0.32074537118910024,0.2967011424521966,0.40061271235656887,0.3830465874420202,-0.5435770578873952,-0.2234331870039016,-0.4886848682314055,0.7947225166534467,0.7997053753813419,0.6802505076348174,0.6664708231005017,0.6876441374774558,0.6836301700227958,-0.08580591565283428,0.31771825456966557,0.4886848682314055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,"(70, 4970)",160,332,0.004893968464290708,-0.427952700443159,-0.44791356287632256,-0.2453909738148414,-0.28466481950640066,-0.9142689917070568,-0.7969686004441044,-0.6719690157109601,-0.8974441327804316,-0.004893968464290708,-0.43254272537917876,-0.4523627130325183,-0.24900593509989086,-0.28837998555655076,-0.9161719348717131,-0.7998419370765498,-0.6751594536247696,-0.8996869128543955,0.427952700443159,0.43254272537917876,-0.02413454330085128,0.2014311896635907,0.16307922881784057,-0.8162864338269384,-0.5721042430231129,-0.34468717834291046,-0.7806490980694877,0.44791356287632256,0.4523627130325183,0.02413454330085128,0.22406295314285432,0.18615790353554923,-0.8077045963092465,-0.5553676111697965,-0.32339940414784624,-0.770611508817205,0.2453909738148414,0.24900593509989086,-0.2014311896635907,-0.22406295314285432,-0.041240538098959306,-0.8539387752480503,-0.675896967161933,-0.5040860002278259,-0.8266646211563271,0.28466481950640066,0.28837998555655076,-0.16307922881784057,-0.18615790353554923,0.041240538098959306,-0.8475052960525457,-0.6582213882936914,-0.47602231518668736,-0.8187954570344345,0.9142689917070568,0.9161719348717131,0.8162864338269384,0.8077045963092465,0.8539387752480503,0.8475052960525457,0.47366190792060975,0.661004607743251,0.10362322221349965,0.7969686004441044,0.7998419370765498,0.5721042430231129,0.5553676111697965,0.675896967161933,0.6582213882936914,-0.47366190792060975,0.28474148324787296,-0.3905103222632767,0.6719690157109601,0.6751594536247696,0.34468717834291046,0.32339940414784624,0.5040860002278259,0.47602231518668736,-0.661004607743251,-0.28474148324787296,-0.6009837524196749,0.8974441327804316,0.8996869128543955,0.7806490980694877,0.770611508817205,0.8266646211563271,0.8187954570344345,-0.10362322221349965,0.3905103222632767,0.6009837524196749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5,"(70, 4478)",160,332,0.012266491283259765,-0.338721135100699,-0.366422990828597,-0.28223374399408085,-0.29920126753115206,-0.809893807296222,-0.694695776192375,-0.5924111712852208,-0.7906341222982678,-0.012266491283259765,-0.3500057866377624,-0.37741773473204054,-0.2921203973472013,-0.3092054545541196,-0.8145111479823902,-0.7016420738355779,-0.6003920068537499,-0.7958204797226052,0.338721135100699,0.3500057866377624,-0.031914060683826316,0.06301832099265801,0.04637247925800494,-0.715967202283763,-0.5059424954927286,-0.3331233245135887,-0.6814385477959198,0.366422990828597,0.37741773473204054,0.031914060683826316,0.09354335512027272,0.07723932061353049,-0.7022089953465195,-0.4827596660159736,-0.3051888425948641,-0.6658592728142564,0.28223374399408085,0.2921203973472013,-0.06301832099265801,-0.09354335512027272,-0.017566676739977867,-0.7051837915782997,-0.5222227805926338,-0.3767791589087786,-0.6725572156646329,0.29920126753115206,0.3092054545541196,-0.04637247925800494,-0.07723932061353049,0.017566676739977867,-0.7036350083680863,-0.5154931887567945,-0.3651804728238778,-0.6703663425964665,0.809893807296222,0.8145111479823902,0.715967202283763,0.7022089953465195,0.7051837915782997,0.7036350083680863,0.38605372617501577,0.5366280407642884,0.08650243625503069,0.694695776192375,0.7016420738355779,0.5059424954927286,0.4827596660159736,0.5222227805926338,0.5154931887567945,-0.38605372617501577,0.21701184662275735,-0.3136450364197531,0.5924111712852208,0.6003920068537499,0.3331233245135887,0.3051888425948641,0.3767791589087786,0.3651804728238778,-0.5366280407642884,-0.21701184662275735,-0.4802667331113598,0.7906341222982678,0.7958204797226052,0.6814385477959198,0.6658592728142564,0.6725572156646329,0.6703663425964665,-0.08650243625503069,0.3136450364197531,0.4802667331113598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,"(70, 3986)",160,332,0.011985404291593253,-0.3512512475763637,-0.3729751968534963,-0.2608559223292176,-0.28599051941186926,-0.7852822035263926,-0.6786347202357721,-0.5809284570388653,-0.7681643426488413,-0.011985404291593253,-0.36213764741051174,-0.38365705268609396,-0.27038714301598865,-0.295606455276167,-0.789706775591341,-0.6854341204194658,-0.5885747124233316,-0.7731709880241329,0.3512512475763637,0.36213764741051174,-0.02555524263380565,0.10108513633178484,0.07647505394537667,-0.69177218846652,-0.4856964967302037,-0.31252977666112247,-0.6591935684898925,0.3729751968534963,0.38365705268609396,0.02555524263380565,0.12536668741022317,0.10113037812466225,-0.6807667356140608,-0.46706445946808717,-0.28983722042980903,-0.6466965189466667,0.2608559223292176,0.27038714301598865,-0.10108513633178484,-0.12536668741022317,-0.026247138807289985,-0.6947386833326936,-0.5261458647443642,-0.387382582141447,-0.6658008094390926,0.28599051941186926,0.295606455276167,-0.07647505394537667,-0.10113037812466225,0.026247138807289985,-0.6923216898720389,-0.5160561355761967,-0.3703893741376049,-0.6624923833892052,0.7852822035263926,0.789706775591341,0.69177218846652,0.6807667356140608,0.6947386833326936,0.6923216898720389,0.37908418768062574,0.5280305571025949,0.08321099051328415,0.6786347202357721,0.6854341204194658,0.4856964967302037,0.46706445946808717,0.5261458647443642,0.5160561355761967,-0.37908418768062574,0.21631200732064415,-0.30984308443397834,0.5809284570388653,0.5885747124233316,0.31252977666112247,0.28983722042980903,0.387382582141447,0.3703893741376049,-0.5280305571025949,-0.21631200732064415,-0.47489579240331725,0.7681643426488413,0.7731709880241329,0.6591935684898925,0.6466965189466667,0.6658008094390926,0.6624923833892052,-0.08321099051328415,0.30984308443397834,0.47489579240331725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,7,"(70, 3494)",160,332,0.004068786577831639,-0.4291797960992881,-0.4488508471781016,-0.23531225285949456,-0.27254894643496913,-0.9206519186446139,-0.8030138142683216,-0.6748596423510289,-0.9044430821524081,-0.004068786577831639,-0.4328702006871735,-0.45258388720191317,-0.23825839288269723,-0.27555168438515176,-0.922168525759282,-0.8054574445165839,-0.6774357307832732,-0.9062145230730705,0.4291797960992881,0.4328702006871735,-0.023969528366732464,0.21349342584447492,0.17692934431173396,-0.8245068116593427,-0.5789086240378009,-0.3468856648533979,-0.7895831808849116,0.4488508471781016,0.45258388720191317,0.023969528366732464,0.23596569110542712,0.19989234132501188,-0.8164131149047463,-0.5627022848792345,-0.3258218703701601,-0.7801320556506761,0.23531225285949456,0.23825839288269723,-0.21349342584447492,-0.23596569110542712,-0.039169481338101705,-0.8673502334875756,-0.6915354583821534,-0.5167226184813226,-0.8415858327806971,0.27254894643496913,0.27555168438515176,-0.17692934431173396,-0.19989234132501188,0.039169481338101705,-0.8608973487792408,-0.6743477007268398,-0.48990342061851,-0.8337157195605668,0.9206519186446139,0.922168525759282,0.8245068116593427,0.8164131149047463,0.8673502334875756,0.8608973487792408,0.48098137074447744,0.6718246524923188,0.10392744166980349,0.8030138142683216,0.8054574445165839,0.5789086240378009,0.5627022848792345,0.6915354583821534,0.6743477007268398,-0.48098137074447744,0.29137622530977353,-0.39808864006253164,0.6748596423510289,0.6774357307832732,0.3468856648533979,0.3258218703701601,0.5167226184813226,0.48990342061851,-0.6718246524923188,-0.29137622530977353,-0.6126230904769187,0.9044430821524081,0.9062145230730705,0.7895831808849116,0.7801320556506761,0.8415858327806971,0.8337157195605668,-0.10392744166980349,0.39808864006253164,0.6126230904769187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
