,plot_id,yield,blue-blue-444,blue-green,blue-green-531,blue-nir,blue-red,blue-red-650,blue-red-edge,blue-red-edge-705,blue-red-edge-740,blue-444-green,blue-444-green-531,blue-444-nir,blue-444-red,blue-444-red-650,blue-444-red-edge,blue-444-red-edge-705,blue-444-red-edge-740,green-green-531,green-nir,green-red,green-red-650,green-red-edge,green-red-edge-705,green-red-edge-740,green-531-nir,green-531-red,green-531-red-650,green-531-red-edge,green-531-red-edge-705,green-531-red-edge-740,nir-red,nir-red-650,nir-red-edge,nir-red-edge-705,nir-red-edge-740,red-red-650,red-red-edge,red-red-edge-705,red-red-edge-740,red-650-red-edge,red-650-red-edge-705,red-650-red-edge-740,red-edge-red-edge-705,red-edge-red-edge-740,red-edge-705-red-edge-740
24,30,967.9994418,0.8432819,-0.48909464,0.63781947,-0.9400924,-0.16959068,0.7873361,-0.8351439,0.41202202,-0.29974952,-0.9431342,-0.4418421,-0.99475455,-0.88582283,-0.16505419,-0.98481315,-0.6577344,-0.9111178,0.8599249,-0.8366133,0.34856656,0.92162544,-0.5868267,0.75141895,0.2184052,-0.9866291,-0.72853696,0.2988711,-0.9614827,-0.30597642,-0.7871849,0.91652405,0.9927007,0.4945988,0.9751064,0.8940591,0.8444969,-0.77529794,0.54360497,-0.13898717,-0.9789083,-0.5536124,-0.87823963,0.9288872,0.7140373,-0.6352365
25,29,817.91811,0.8427255,-0.50033534,0.62951094,-0.9374657,-0.18921,0.77804625,-0.83679736,0.39906436,-0.29686558,-0.9445372,-0.4510835,-0.9945118,-0.88906,-0.184395,-0.98494464,-0.6659079,-0.90821445,0.86059755,-0.82873416,0.34089333,0.91900265,-0.5832456,0.7515876,0.23394406,-0.9859522,-0.7284835,0.2892863,-0.96124464,-0.30817613,-0.77980316,0.9044516,0.9916275,0.48095688,0.9735828,0.8930434,0.84403116,-0.7632528,0.5437345,-0.119885474,-0.9775069,-0.54686755,-0.86527526,0.9279278,0.7196868,-0.622087
26,28,1124.153568,0.84173644,-0.49151254,0.6357266,-0.93931055,-0.17349407,0.78550476,-0.8354322,0.4100958,-0.29597184,-0.94301593,-0.44145453,-0.9946535,-0.8857029,-0.16465041,-0.98474747,-0.65688765,-0.9099143,0.8598086,-0.8335234,0.3477505,0.921537,-0.5855815,0.7516596,0.22577529,-0.98637253,-0.7289312,0.29847324,-0.96135384,-0.30515283,-0.7845735,0.9145942,0.9925283,0.48780778,0.9745813,0.8933112,0.8446651,-0.7739813,0.544646,-0.1309146,-0.9787906,-0.55278397,-0.8763238,0.92864454,0.71689254,-0.6308569
27,26,818.5391664,0.8426647,-0.46942636,0.64683914,-0.9257072,-0.21352215,0.7713316,-0.81862086,0.4287778,-0.22883907,-0.9399649,-0.42747295,-0.9934282,-0.8945011,-0.20075881,-0.98310006,-0.6451502,-0.8940391,0.8576912,-0.81328136,0.2828383,0.90975,-0.5721612,0.7496944,0.2663043,-0.98419374,-0.75353616,0.24688283,-0.95904636,-0.30200478,-0.76141524,0.8821871,0.98963284,0.4563262,0.97066534,0.89017236,0.8466176,-0.72789586,0.58560896,-0.024168799,-0.9739699,-0.5088617,-0.84082747,0.9249421,0.7283235,-0.5979209
28,51,883.0896655,0.8431306,-0.4857723,0.640142,-0.93007106,-0.210907,0.7719581,-0.82725644,0.41243628,-0.26397172,-0.94255674,-0.4360825,-0.9938687,-0.89365065,-0.19924085,-0.98403335,-0.6568295,-0.8993416,0.8609299,-0.82043576,0.30230638,0.9125057,-0.57918364,0.75101846,0.2480553,-0.98517007,-0.7451275,0.2572548,-0.9607866,-0.31038284,-0.77125806,0.8847649,0.9898952,0.46896407,0.9719977,0.892404,0.84668124,-0.7361888,0.56764823,-0.06853674,-0.9747494,-0.5221799,-0.8448885,0.9267399,0.72487026,-0.6084545
29,50,783.0055577,0.8423654,-0.4796355,0.6470777,-0.93911976,-0.17604882,0.7844885,-0.83320093,0.42306396,-0.29358548,-0.94150376,-0.42651585,-0.9946557,-0.88644767,-0.16757818,-0.9845656,-0.64853126,-0.9089984,0.86100125,-0.838519,0.33087888,0.91836953,-0.59167486,0.75197905,0.2122163,-0.9869085,-0.7382544,0.27843538,-0.9623285,-0.3083001,-0.79028827,0.91265994,0.9923684,0.49519244,0.9754804,0.894576,0.84479195,-0.7682735,0.556742,-0.12697089,-0.97817755,-0.5393772,-0.8732198,0.9300403,0.71481663,-0.63877183
30,49,931.7726118,0.8431745,-0.4876502,0.63783616,-0.92755497,-0.21771903,0.76956785,-0.82508284,0.41560632,-0.2561741,-0.9427771,-0.4392835,-0.99362856,-0.89511317,-0.20500422,-0.98379546,-0.6547739,-0.8970899,0.86057425,-0.8145269,0.298188,0.9117334,-0.5731167,0.75367475,0.25875926,-0.9845717,-0.74623996,0.25532797,-0.9599505,-0.30337906,-0.7659013,0.8795541,0.9893804,0.4623122,0.9713121,0.8911706,0.84690857,-0.7300621,0.5749483,-0.054108582,-0.974087,-0.5153002,-0.84024966,0.9263235,0.7261394,-0.60506845
31,48,719.4544345,0.84408367,-0.4780057,0.6468698,-0.92957807,-0.21177715,0.7724802,-0.82478106,0.42292175,-0.2516613,-0.94188374,-0.43132064,-0.9938639,-0.89492506,-0.20316404,-0.98390174,-0.6523195,-0.89967567,0.86064315,-0.8194439,0.29379857,0.9119539,-0.5779598,0.7513993,0.2525376,-0.9851124,-0.75218487,0.24870874,-0.9606161,-0.3085563,-0.7713661,0.88796675,0.9902161,0.4658215,0.9720712,0.8916168,0.8468108,-0.7364363,0.57904637,-0.050153323,-0.9749708,-0.5154811,-0.84779704,0.9267764,0.7259306,-0.6094028
32,47,993.2834336,0.84249604,-0.51863134,0.6178098,-0.94186777,-0.18470606,0.7775746,-0.84395313,0.39634,-0.32540306,-0.9471866,-0.46655923,-0.99491894,-0.888417,-0.1866293,-0.9856656,-0.6679621,-0.9151134,0.86165875,-0.8303889,0.3678869,0.9232061,-0.5811159,0.7603971,0.22861576,-0.9862617,-0.71860236,0.30604744,-0.9613469,-0.29309583,-0.78512406,0.9143318,0.99239004,0.48591146,0.97508204,0.8921968,0.84193593,-0.77802044,0.5399102,-0.15268156,-0.9788172,-0.54880524,-0.8764783,0.9304341,0.71534646,-0.640356
33,46,1004.88013,0.8418684,-0.50064695,0.6326748,-0.94167536,-0.17166646,0.78389287,-0.8378056,0.4114555,-0.31005502,-0.9444567,-0.44631073,-0.9948717,-0.88547003,-0.16914052,-0.98498386,-0.6563655,-0.9126169,0.86143136,-0.83592296,0.35985073,0.9226605,-0.58263004,0.7575398,0.22169335,-0.9867364,-0.7253827,0.29986608,-0.9614355,-0.2981629,-0.7879992,0.91828245,0.9927718,0.49778083,0.9757269,0.8943132,0.8427919,-0.7777763,0.5447377,-0.1481137,-0.97890824,-0.5485004,-0.8790479,0.9299261,0.712718,-0.6417013
