,plot_id,yield,blue-blue-444,blue-green,blue-green-531,blue-nir,blue-red,blue-red-650,blue-red-edge,blue-red-edge-705,blue-red-edge-740,blue-444-green,blue-444-green-531,blue-444-nir,blue-444-red,blue-444-red-650,blue-444-red-edge,blue-444-red-edge-705,blue-444-red-edge-740,green-green-531,green-nir,green-red,green-red-650,green-red-edge,green-red-edge-705,green-red-edge-740,green-531-nir,green-531-red,green-531-red-650,green-531-red-edge,green-531-red-edge-705,green-531-red-edge-740,nir-red,nir-red-650,nir-red-edge,nir-red-edge-705,nir-red-edge-740,red-red-650,red-red-edge,red-red-edge-705,red-red-edge-740,red-650-red-edge,red-650-red-edge-705,red-650-red-edge-740,red-edge-red-edge-705,red-edge-red-edge-740,red-edge-705-red-edge-740
0,12,641.2188273,0.006364462,-0.4803449,-0.4953285,-0.92954236,-0.26578256,-0.34680665,-0.82841396,-0.7190881,-0.9168687,-0.48559836,-0.5005577,-0.93102044,-0.27116755,-0.35194126,-0.83108157,-0.7225712,-0.91853833,-0.019061897,-0.8219451,0.24450783,0.16167863,-0.58623546,-0.36560404,-0.79142785,-0.8153317,0.26214877,0.17994559,-0.57327443,-0.3489993,-0.7838046,0.8729281,0.85585064,0.4652478,0.6542831,0.09150101,-0.08839521,-0.7130523,-0.5546508,-0.8517139,-0.672835,-0.49426058,-0.8317123,0.2814096,-0.39184186,-0.6010413
1,11,697.97988,0.013630607,-0.4921293,-0.5030702,-0.93536323,-0.2680715,-0.35555175,-0.84010756,-0.7312897,-0.9237234,-0.5024078,-0.51325864,-0.93731284,-0.2802392,-0.3669931,-0.84434557,-0.7376442,-0.92597663,-0.014334765,-0.8236722,0.25695586,0.16515489,-0.5956285,-0.37468475,-0.79396564,-0.8192178,0.27025178,0.17896713,-0.5863216,-0.36230442,-0.7888117,0.8874374,0.86623657,0.45423463,0.6509209,0.0891808,-0.09678044,-0.7352897,-0.5746808,-0.86795187,-0.6891169,-0.5073212,-0.84337527,0.2847038,-0.3817432,-0.5982055
2,9,709.8914786,0.013284031,-0.47402933,-0.4875145,-0.93682146,-0.25748622,-0.33821213,-0.83587116,-0.7194567,-0.92499405,-0.48423958,-0.49752095,-0.93862575,-0.26961452,-0.3495963,-0.84001863,-0.72598135,-0.9271038,-0.01724686,-0.83486336,0.24570327,0.16176344,-0.6016862,-0.37352636,-0.8058495,-0.8297156,0.26189557,0.17851116,-0.59052813,-0.3585603,-0.7998003,0.8923145,0.87424904,0.47524258,0.6721554,0.092512175,-0.08817502,-0.7340661,-0.5656393,-0.8729136,-0.69227177,-0.50366735,-0.8517684,0.2946271,-0.40165353,-0.61988187
3,8,674.1916718,0.0029908768,-0.47139055,-0.48991278,-0.93184674,-0.2593985,-0.33598736,-0.8287262,-0.7148504,-0.91946983,-0.47400728,-0.49253002,-0.9329369,-0.26168334,-0.33816558,-0.8303731,-0.71674305,-0.9206881,-0.02362065,-0.83006626,0.23991702,0.16179504,-0.5933093,-0.36787477,-0.80078465,-0.8225259,0.2618336,0.18446891,-0.57771605,-0.34736818,-0.7919621,0.8787984,0.86313826,0.4767467,0.6675708,0.09129987,-0.08305568,-0.7175705,-0.5538495,-0.8582396,-0.679592,-0.49672967,-0.83990735,0.2889717,-0.40431753,-0.6158112
4,7,680.4306641,0.008661316,-0.4786692,-0.49141893,-0.93684053,-0.2569981,-0.3426027,-0.83600384,-0.7204631,-0.92507243,-0.48526052,-0.49800658,-0.938023,-0.2648211,-0.34978223,-0.8385803,-0.7245225,-0.92644674,-0.016602967,-0.8322149,0.25178525,0.16245446,-0.59733653,-0.37003347,-0.8028813,-0.82693106,0.2672836,0.17847063,-0.5862866,-0.35545015,-0.7967688,0.89276433,0.87289184,0.47274327,0.6688579,0.09189418,-0.09383045,-0.7347453,-0.5675647,-0.87352204,-0.68986076,-0.5015194,-0.8503808,0.2922054,-0.3994666,-0.6166464
5,6,965.1194023,-0.001022905,-0.4943427,-0.514101,-0.9439242,-0.23507927,-0.32528782,-0.8394602,-0.7191873,-0.93197197,-0.49337298,-0.51329947,-0.9440079,-0.23382293,-0.32413533,-0.83943254,-0.71886986,-0.9320848,-0.026146857,-0.84616035,0.29227197,0.20132463,-0.5929182,-0.3491109,-0.81538486,-0.8383885,0.31599736,0.2262645,-0.5755979,-0.326093,-0.80625486,0.9083729,0.89106166,0.51295763,0.7062226,0.10196168,-0.09750208,-0.7498493,-0.5805607,-0.8894017,-0.7054582,-0.513351,-0.86866957,0.30759805,-0.4348444,-0.65248734
6,4,908.7694714,0.007051522,-0.48630685,-0.5009893,-0.94499135,-0.2372228,-0.32608533,-0.8396165,-0.7172107,-0.93331724,-0.4915666,-0.5060767,-0.9458698,-0.24375647,-0.33232248,-0.84186035,-0.7206795,-0.93437046,-0.019252928,-0.85006773,0.28122354,0.19024765,-0.59879297,-0.35563797,-0.8200141,-0.8445893,0.29884744,0.20864378,-0.5861374,-0.33860436,-0.8135397,0.9114312,0.8939093,0.51553917,0.70958644,0.10231568,-0.09655318,-0.75137174,-0.5782126,-0.8931111,-0.7067016,-0.51068187,-0.87218297,0.30915803,-0.4374571,-0.65625924
7,3,796.7081605,0.0017042793,-0.48722336,-0.5068474,-0.9412571,-0.23378707,-0.32843313,-0.83751094,-0.71965677,-0.929861,-0.48857102,-0.50809443,-0.941678,-0.23506942,-0.32963747,-0.83828026,-0.7205548,-0.93036246,-0.025722228,-0.8421817,0.28492916,0.18916298,-0.5946837,-0.35837474,-0.8131682,-0.8344748,0.30842882,0.21371838,-0.5776999,-0.33574978,-0.804181,0.9037408,0.8848417,0.5016291,0.6940293,0.09532137,-0.102412716,-0.7472291,-0.5820698,-0.8858245,-0.7002983,-0.5114789,-0.8635285,0.3006075,-0.4279639,-0.6428086
8,2,911.7741595,0.0051144566,-0.48492703,-0.5003561,-0.94335014,-0.22762462,-0.3209833,-0.83839506,-0.7177041,-0.9319401,-0.48891646,-0.5042759,-0.94403666,-0.23219644,-0.32509822,-0.8399396,-0.72014016,-0.9327433,-0.020160973,-0.8459989,0.28909817,0.19431692,-0.596937,-0.35781163,-0.8168383,-0.8401576,0.30746436,0.21355383,-0.5835116,-0.3400632,-0.809852,0.9101914,0.89155364,0.5073383,0.7009721,0.09788477,-0.1009175,-0.7536473,-0.5855336,-0.8926166,-0.7072484,-0.51564527,-0.8705804,0.3043606,-0.4322186,-0.64914006
9,1,670.6840155,0.002905592,-0.483557,-0.49066594,-0.93325925,-0.25183418,-0.34285793,-0.8293073,-0.7162175,-0.9221823,-0.48582992,-0.4929571,-0.9339848,-0.25411826,-0.34500656,-0.8306,-0.71781766,-0.9230083,-0.00897328,-0.82503843,0.26216784,0.16878887,-0.58157957,-0.35634077,-0.7974069,-0.8217497,0.27044126,0.17743334,-0.57540756,-0.34845942,-0.79362637,0.88486576,0.86455685,0.47512606,0.66466385,0.0845185,-0.09925263,-0.7240731,-0.5628456,-0.8669239,-0.67684436,-0.4934802,-0.8434444,0.2844524,-0.40826565,-0.61681646
