,plot_id,yield,blue-blue_444,blue-green,blue-green_531,blue-red_650,blue-red,blue-red_edge_705,blue-red_edge,blue-red_edge_740,blue-nir,blue_444-green,blue_444-green_531,blue_444-red_650,blue_444-red,blue_444-red_edge_705,blue_444-red_edge,blue_444-red_edge_740,blue_444-nir,green-green_531,green-red_650,green-red,green-red_edge_705,green-red_edge,green-red_edge_740,green-nir,green_531-red_650,green_531-red,green_531-red_edge_705,green_531-red_edge,green_531-red_edge_740,green_531-nir,red_650-red,red_650-red_edge_705,red_650-red_edge,red_650-red_edge_740,red_650-nir,red-red_edge_705,red-red_edge,red-red_edge_740,red-nir,red_edge_705-red_edge,red_edge_705-red_edge_740,red_edge_705-nir,red_edge-red_edge_740,red_edge-nir,red_edge_740-nir
18,13,617.3453332,-0.011288373,-0.4511082,-0.42379308,-0.3027677,-0.27152938,-0.679063,-0.79419637,-0.8920644,-0.9082928,-0.44159216,-0.41380134,-0.29305026,-0.26189256,-0.6723483,-0.78916997,-0.8889406,-0.90546054,0.033166036,0.169655,0.19951926,-0.32956886,-0.5440595,-0.7521945,-0.7874853,0.13773473,0.16814825,-0.3588013,-0.5677982,-0.767455,-0.8010041,0.03253549,-0.46791232,-0.6383166,-0.7969079,-0.82507163,-0.48921576,-0.6513207,-0.80202293,-0.8291821,-0.2632469,-0.56653196,-0.6222941,-0.3664214,-0.44016653,-0.088887736
17,15,802.5097891,-0.00113485,-0.47814968,-0.4693001,-0.23455055,-0.17285186,-0.69927317,-0.8336859,-0.9295361,-0.9433116,-0.47723007,-0.46810243,-0.23339695,-0.17184024,-0.6990064,-0.83358294,-0.9293605,-0.9432217,0.011244657,0.27461904,0.33286577,-0.3331264,-0.5927965,-0.81382257,-0.8487143,0.2641885,0.32262802,-0.34304208,-0.600146,-0.81785303,-0.8520583,0.064348176,-0.55646986,-0.74535817,-0.889217,-0.91071224,-0.5990426,-0.77232033,-0.9016529,-0.9208395,-0.32434574,-0.6605611,-0.7200359,-0.4290547,-0.517834,-0.115420915
16,17,832.1739777,-0.000900498,-0.47362018,-0.46038216,-0.2389889,-0.18097152,-0.6954213,-0.82942563,-0.92661524,-0.94047457,-0.47285914,-0.4597069,-0.23831879,-0.18031469,-0.6950592,-0.8291547,-0.926423,-0.94037145,0.016397288,0.2641756,0.31898108,-0.33188003,-0.58795077,-0.8092362,-0.8436365,0.24875876,0.3042109,-0.3464179,-0.5986919,-0.8149391,-0.8485371,0.06052927,-0.54738533,-0.7358394,-0.88280046,-0.90472054,-0.5876797,-0.76149535,-0.8947863,-0.9146131,-0.31849858,-0.65350807,-0.71193683,-0.42446867,-0.51051253,-0.11081542
15,20,588.7548723,0.000296226,-0.46717778,-0.4550777,-0.23475893,-0.18072909,-0.69256896,-0.82849747,-0.9266116,-0.9406058,-0.46753433,-0.4555801,-0.23529278,-0.18115833,-0.69300485,-0.828758,-0.9267163,-0.9407291,0.014912221,0.26093814,0.31252223,-0.33421817,-0.5908235,-0.81145084,-0.8458979,0.24685755,0.29884523,-0.34744984,-0.60063607,-0.8165681,-0.85027975,0.05663706,-0.54708254,-0.73699546,-0.8841969,-0.90612733,-0.5848773,-0.7612052,-0.89556897,-0.9153991,-0.32015824,-0.6555764,-0.71440464,-0.42555502,-0.5125324,-0.1121457
14,21,589.6711491,0.012954953,-0.44480476,-0.43967757,-0.31382796,-0.2552779,-0.6745458,-0.7905586,-0.8896767,-0.90699774,-0.45428628,-0.44731727,-0.3249604,-0.26865646,-0.68288547,-0.7944543,-0.890199,-0.90723634,0.008373736,0.15090008,0.20846921,-0.32990414,-0.54423046,-0.75307184,-0.7892103,0.14346929,0.20108138,-0.33651772,-0.5513425,-0.7582125,-0.79402965,0.06224224,-0.4507279,-0.62179583,-0.78370845,-0.81469065,-0.49544853,-0.65287596,-0.7997727,-0.8284973,-0.26333377,-0.5656877,-0.62274075,-0.36796862,-0.44358605,-0.09161751
13,22,554.56397,-0.014004606,-0.45547882,-0.43857232,-0.31451428,-0.27520713,-0.6875674,-0.80178815,-0.8975807,-0.91336685,-0.44363916,-0.42662722,-0.30273426,-0.26325482,-0.6795391,-0.7955004,-0.89354074,-0.9098971,0.020336265,0.16209103,0.20004718,-0.33837137,-0.5545835,-0.76115316,-0.79608154,0.14255519,0.18090737,-0.35607722,-0.5690829,-0.7705487,-0.8042988,0.041263856,-0.46912298,-0.6414318,-0.8008709,-0.8294413,-0.4965813,-0.65861404,-0.8084033,-0.83565724,-0.26746666,-0.57248574,-0.62890124,-0.3693556,-0.4446082,-0.09109194
12,23,807.4979214,-0.022038255,-0.43561444,-0.4141106,-0.3481541,-0.32026052,-0.67281955,-0.7742686,-0.86832017,-0.8879258,-0.4163651,-0.3947249,-0.32942647,-0.30178693,-0.65935373,-0.76312345,-0.8605903,-0.8811282,0.024972847,0.102301344,0.128217,-0.3370415,-0.52709514,-0.7211918,-0.760548,0.07826916,0.10459475,-0.3588595,-0.5458002,-0.734715,-0.7725654,0.028480846,-0.41617808,-0.57211286,-0.7312632,-0.76693577,-0.4337139,-0.58134574,-0.7332335,-0.7680893,-0.23352122,-0.514099,-0.5750676,-0.3335693,-0.41103238,-0.0913563
11,24,753.7656118,-0.001075722,-0.4864161,-0.47342357,-0.2645333,-0.20391375,-0.7033529,-0.8297078,-0.9239127,-0.93738925,-0.48547012,-0.4725593,-0.26388836,-0.20326093,-0.7028288,-0.8291116,-0.923492,-0.93702126,0.016555808,0.25380233,0.3114548,-0.33073613,-0.57831585,-0.79805964,-0.8319939,0.2382717,0.29643324,-0.34541982,-0.58949393,-0.8042378,-0.83723897,0.06365741,-0.53788733,-0.7218337,-0.8703665,-0.89272475,-0.5802486,-0.7490319,-0.88322794,-0.90340316,-0.30651388,-0.6359939,-0.6926145,-0.41171885,-0.49302164,-0.102830395
10,25,853.4823341,-0.014411932,-0.45277667,-0.43204415,-0.33915204,-0.29883245,-0.6855096,-0.7860947,-0.8786866,-0.89557797,-0.4402088,-0.41912854,-0.3273416,-0.2871696,-0.6766983,-0.7783715,-0.8729934,-0.89053184,0.024629265,0.13308968,0.17168362,-0.33859667,-0.5324969,-0.7302622,-0.7657917,0.10948609,0.14860582,-0.36014226,-0.5507977,-0.74308866,-0.7772777,0.04221903,-0.44366795,-0.59832495,-0.754785,-0.7854507,-0.47103944,-0.61504877,-0.76132345,-0.7907149,-0.23851378,-0.52540934,-0.5810349,-0.340868,-0.41194934,-0.08391781
27,26,818.5391664,-0.014493828,-0.44959778,-0.42494062,-0.3149896,-0.28155458,-0.68387204,-0.79376745,-0.88876003,-0.90550935,-0.43736336,-0.4121889,-0.30264488,-0.26922128,-0.6754702,-0.78733957,-0.8846079,-0.9018188,0.030003639,0.1539567,0.18648876,-0.33891115,-0.5451602,-0.74707484,-0.7829527,0.12513202,0.15813258,-0.3651518,-0.5665222,-0.7608786,-0.7952524,0.035273872,-0.46286052,-0.6272409,-0.7834874,-0.8133177,-0.48640195,-0.6422122,-0.7901751,-0.8188866,-0.254691,-0.55081946,-0.60788107,-0.35572937,-0.42991358,-0.08856874
26,28,1124.153568,-0.004832834,-0.48585272,-0.47504678,-0.24406257,-0.17785123,-0.7062911,-0.833806,-0.92737985,-0.94202983,-0.48203486,-0.47067025,-0.23952185,-0.17348371,-0.70418364,-0.8324032,-0.92646325,-0.94135255,0.01393539,0.273872,0.33605954,-0.33710632,-0.5878117,-0.80637217,-0.843856,0.26095748,0.32334602,-0.34943917,-0.5973307,-0.81198233,-0.84852296,0.069188036,-0.5583123,-0.73948014,-0.88209486,-0.90560734,-0.60329694,-0.768158,-0.89548016,-0.91638315,-0.31414935,-0.6467628,-0.7107044,-0.42030853,-0.51399124,-0.12151306
25,29,817.91811,-0.015503839,-0.48471695,-0.46696833,-0.30669856,-0.25292543,-0.70738274,-0.81758696,-0.9090807,-0.9255781,-0.47201386,-0.45397747,-0.2936935,-0.23969166,-0.69905424,-0.8109712,-0.9049547,-0.92218167,0.022201253,0.20607263,0.25734875,-0.33967626,-0.5610546,-0.77273107,-0.8114953,0.18504114,0.23693933,-0.3591387,-0.5766738,-0.78238076,-0.8197511,0.05704069,-0.5047931,-0.67063844,-0.82317346,-0.8531892,-0.5418872,-0.69501007,-0.83482736,-0.8628802,-0.27447426,-0.5895807,-0.65321875,-0.38506922,-0.47128707,-0.10619952
24,30,967.9994418,-0.006020657,-0.49212,-0.47807235,-0.25307366,-0.18817613,-0.7093505,-0.8339112,-0.9260241,-0.9401085,-0.4873144,-0.47334012,-0.24789308,-0.18291056,-0.7063558,-0.8317842,-0.92482316,-0.9391759,0.017780092,0.27193382,0.33248132,-0.33562514,-0.5832199,-0.8013756,-0.83744335,0.25530282,0.316752,-0.3514547,-0.59519047,-0.80805165,-0.84324527,0.06793544,-0.55520356,-0.7338413,-0.87656593,-0.89961845,-0.5990436,-0.761789,-0.88970417,-0.9104096,-0.30868155,-0.6390768,-0.70031416,-0.41495532,-0.5034729,-0.11345105
23,31,916.9372373,-0.015851334,-0.49399057,-0.48252317,-0.29793134,-0.23839165,-0.715188,-0.83070827,-0.9202349,-0.9360976,-0.48173016,-0.4695649,-0.2838809,-0.2244835,-0.7070451,-0.82511306,-0.91704994,-0.93353283,0.014617218,0.22764233,0.2841534,-0.34286723,-0.57863843,-0.79121673,-0.8300235,0.21394214,0.27075413,-0.3559334,-0.58864534,-0.7974582,-0.8353214,0.06289755,-0.5252364,-0.7002127,-0.8490954,-0.8779705,-0.5660511,-0.72613436,-0.86110485,-0.88772935,-0.29484713,-0.6176193,-0.6830464,-0.4014881,-0.493041,-0.11513423
22,33,933.9135068,-0.004986925,-0.4863327,-0.47302958,-0.241917,-0.1825858,-0.7078543,-0.8358572,-0.9293624,-0.94361424,-0.48277357,-0.4695788,-0.2376861,-0.1780071,-0.7057176,-0.83452934,-0.9286983,-0.9431432,0.017015537,0.2769624,0.33325303,-0.33911052,-0.590538,-0.8101183,-0.8469038,0.26102686,0.31788954,-0.35424694,-0.60204446,-0.8161618,-0.85207796,0.06267769,-0.56258523,-0.74394286,-0.88637453,-0.9092445,-0.6031825,-0.7700902,-0.89875877,-0.919165,-0.31542918,-0.65094143,-0.7142746,-0.42397305,-0.517031,-0.1204796
21,35,761.6709595,-0.008259972,-0.48527837,-0.47065,-0.2707923,-0.216956,-0.7089251,-0.8281086,-0.91922194,-0.9327409,-0.47843042,-0.46384993,-0.26409823,-0.20983681,-0.7045512,-0.8247423,-0.91723585,-0.9311523,0.018793471,0.24500535,0.2958449,-0.34175065,-0.5775256,-0.7890004,-0.82262915,0.22747937,0.27899516,-0.3582694,-0.590311,-0.796581,-0.82904667,0.05654062,-0.5388297,-0.71301144,-0.85802627,-0.88115627,-0.57515895,-0.7362598,-0.8691782,-0.89045686,-0.2948408,-0.6144519,-0.67099845,-0.39483595,-0.47415644,-0.0990233
20,37,762.6506541,-0.005071934,-0.49202725,-0.47661176,-0.25836745,-0.19785886,-0.710303,-0.8328236,-0.9253676,-0.93891305,-0.4881123,-0.47282597,-0.25400665,-0.19340065,-0.7080718,-0.83109325,-0.9244686,-0.9381513,0.019865973,0.26699334,0.3240481,-0.33720383,-0.5802699,-0.79911643,-0.83364236,0.24856508,0.306229,-0.35483715,-0.5937616,-0.80650544,-0.8399748,0.063540354,-0.5529312,-0.73003876,-0.8746528,-0.89694417,-0.59418535,-0.7565589,-0.88723713,-0.90734595,-0.3027172,-0.6336266,-0.6919263,-0.4118779,-0.49526408,-0.10573287
19,38,882.1646414,-0.0157945,-0.47333962,-0.45378122,-0.3157157,-0.26992986,-0.7003421,-0.805679,-0.8960185,-0.9132787,-0.4600585,-0.4400651,-0.30240345,-0.25681123,-0.69127864,-0.79809445,-0.8907187,-0.90876925,0.023648996,0.18316184,0.22574835,-0.34074977,-0.5499561,-0.75295985,-0.7912549,0.16072688,0.20394948,-0.3615685,-0.5671457,-0.76443833,-0.8012296,0.04750418,-0.48630708,-0.6457041,-0.7957381,-0.8268453,-0.5159439,-0.6635215,-0.8026412,-0.8323675,-0.2592298,-0.5585761,-0.619948,-0.36129022,-0.44173607,-0.09674717
38,39,918.9163077,0.006110088,-0.4766802,-0.46041378,-0.25644916,-0.19981834,-0.69397014,-0.8243506,-0.920311,-0.9339934,-0.48110414,-0.46498787,-0.26248005,-0.20607825,-0.6967723,-0.8257,-0.9206078,-0.9342162,0.0202783,0.24964233,0.3038463,-0.32585916,-0.5765225,-0.7951239,-0.8287024,0.23050031,0.2851217,-0.3436643,-0.5897633,-0.80234104,-0.83489233,0.059547823,-0.5303307,-0.7172008,-0.86552364,-0.8877309,-0.57041484,-0.74278903,-0.8777117,-0.89790225,-0.30949634,-0.6356334,-0.69110394,-0.40975302,-0.48983142,-0.101518005
37,40,942.1599982,-0.014648325,-0.45479557,-0.4345006,-0.3480875,-0.30090243,-0.6848578,-0.7903714,-0.88348323,-0.9008925,-0.4422405,-0.42125392,-0.33697826,-0.28956255,-0.67569727,-0.782272,-0.87750584,-0.89563113,0.024770668,0.12321019,0.17069972,-0.33482292,-0.5371091,-0.73763317,-0.7752845,0.09942916,0.14727765,-0.3565719,-0.55502903,-0.74944806,-0.7856978,0.05146368,-0.43165645,-0.5944818,-0.75441164,-0.7871383,-0.46772885,-0.61899,-0.7673245,-0.7980334,-0.24856932,-0.54003096,-0.59945273,-0.35142332,-0.42923683,-0.09375074
36,41,738.4753791,-0.001270968,-0.47022036,-0.46013278,-0.25111398,-0.19324896,-0.6938836,-0.8285651,-0.9246819,-0.93868685,-0.46908164,-0.45886496,-0.2503088,-0.19250989,-0.693181,-0.82778925,-0.92399454,-0.93813694,0.012540402,0.24700469,0.30240613,-0.33258608,-0.5897522,-0.80752426,-0.8418147,0.23527884,0.2908407,-0.34366947,-0.5982263,-0.81220585,-0.84567153,0.060676657,-0.53420335,-0.72587705,-0.87397027,-0.89680165,-0.57487845,-0.75151765,-0.8859389,-0.9066421,-0.32078025,-0.6508638,-0.7087361,-0.42051414,-0.5059442,-0.10978322
35,43,981.6758027,-0.005832433,-0.47549042,-0.4618073,-0.2882749,-0.23189294,-0.69516945,-0.82072103,-0.9152067,-0.9296393,-0.47050583,-0.45680702,-0.28353795,-0.2271983,-0.69176716,-0.81791735,-0.91338253,-0.9281227,0.016997954,0.21441263,0.268664,-0.3289933,-0.5709538,-0.78484344,-0.8194026,0.19817604,0.25292346,-0.34399405,-0.58256227,-0.7915664,-0.8252968,0.059512895,-0.50444144,-0.6905334,-0.84458137,-0.8699707,-0.54475564,-0.7164773,-0.85715866,-0.8805365,-0.2987162,-0.6162453,-0.67310345,-0.39415473,-0.47385633,-0.09883447
34,44,1090.146358,-0.016636195,-0.44297028,-0.42135364,-0.34656128,-0.30926707,-0.6740723,-0.7795358,-0.873351,-0.89208966,-0.428355,-0.406208,-0.33297643,-0.29581437,-0.66341424,-0.7705116,-0.8666447,-0.88618076,0.025663216,0.11227346,0.147914,-0.33070552,-0.5298381,-0.72641087,-0.764991,0.087632604,0.123692684,-0.35325137,-0.54865944,-0.7396096,-0.7766733,0.039057758,-0.4181917,-0.57990545,-0.7386868,-0.7730259,-0.4437884,-0.59524035,-0.7446144,-0.7776474,-0.24375851,-0.52722883,-0.58695865,-0.34051454,-0.41776267,-0.09195733
33,46,1004.88013,0.000435901,-0.4887971,-0.48000947,-0.25147918,-0.18753502,-0.7044023,-0.8355671,-0.9288698,-0.9421745,-0.4891107,-0.4804054,-0.25210378,-0.18813252,-0.70453256,-0.8355177,-0.92875284,-0.9420986,0.011295737,0.2702013,0.33068883,-0.3296831,-0.5876522,-0.80764306,-0.8419214,0.25958714,0.32035038,-0.33975044,-0.5952497,-0.8115252,-0.84524274,0.06719852,-0.55010027,-0.73844177,-0.8829325,-0.90454787,-0.5942358,-0.7664641,-0.89618075,-0.9154137,-0.32068676,-0.6524296,-0.71029884,-0.42084453,-0.5061308,-0.10907466
32,47,993.2834336,-0.01545631,-0.45438656,-0.43330562,-0.33618167,-0.29310623,-0.68205076,-0.7899993,-0.8837125,-0.9026226,-0.44097808,-0.41960162,-0.3237801,-0.2807717,-0.6724466,-0.7817542,-0.87779725,-0.89749825,0.024906468,0.13705623,0.17796865,-0.33084473,-0.53763896,-0.738868,-0.77897304,0.11326584,0.15466154,-0.3526578,-0.5561472,-0.75187266,-0.7904286,0.045033347,-0.4394023,-0.6044041,-0.762713,-0.79739416,-0.4686746,-0.622051,-0.7696627,-0.80283713,-0.2543366,-0.5463774,-0.60902834,-0.3528738,-0.43488774,-0.09831754
31,48,719.4544345,-0.015973687,-0.43783355,-0.41924456,-0.3240467,-0.29173017,-0.67260534,-0.78372276,-0.87949526,-0.89663726,-0.42389226,-0.4049788,-0.31107837,-0.2786681,-0.66271144,-0.775476,-0.87363327,-0.8914969,0.022143066,0.1294044,0.16014358,-0.3335685,-0.5382966,-0.7365774,-0.77259153,0.10812105,0.13921885,-0.35293835,-0.55451894,-0.74775225,-0.78243965,0.033518944,-0.4363936,-0.60228634,-0.760397,-0.7911297,-0.45828062,-0.6153447,-0.7654477,-0.7950545,-0.25191772,-0.5399642,-0.59659266,-0.34626788,-0.4204199,-0.08846063
30,49,931.7726118,-0.01985168,-0.4283599,-0.40650484,-0.35624206,-0.32392186,-0.66494745,-0.76279455,-0.85494363,-0.8737621,-0.41088614,-0.38875702,-0.33981055,-0.30764487,-0.65236837,-0.752211,-0.8472742,-0.86689657,0.025351025,0.08493948,0.115922995,-0.33297145,-0.5150005,-0.7010709,-0.73825324,0.060466398,0.0917955,-0.35522947,-0.5342775,-0.7152848,-0.75110203,0.033742934,-0.39703614,-0.54766613,-0.7032466,-0.73714405,-0.41894075,-0.56058973,-0.70810765,-0.7408764,-0.22271109,-0.48774835,-0.54435897,-0.31227762,-0.38347775,-0.08266096
29,50,783.0055577,-0.00259518,-0.4697274,-0.45637333,-0.2572187,-0.20324753,-0.6921507,-0.82404375,-0.92165816,-0.9359046,-0.46753356,-0.45424578,-0.25524837,-0.20127921,-0.6908633,-0.8228554,-0.9209433,-0.935304,0.016793083,0.24000272,0.291645,-0.33053556,-0.58041596,-0.7997613,-0.8341633,0.22415012,0.27623093,-0.3453807,-0.5916722,-0.80588454,-0.839356,0.0565953,-0.52700275,-0.7154948,-0.8674034,-0.8910283,-0.5652891,-0.7400073,-0.879117,-0.9007371,-0.30954367,-0.63868254,-0.6962053,-0.41279504,-0.49560434,-0.10482902
28,51,883.0896655,-0.015064837,-0.44052038,-0.4193037,-0.33047915,-0.29454723,-0.67082137,-0.77864933,-0.87428606,-0.893894,-0.4273456,-0.40574202,-0.31807154,-0.28225756,-0.6614429,-0.77057993,-0.86842936,-0.88879293,0.025114827,0.1261926,0.1603504,-0.32873577,-0.53051245,-0.728701,-0.76885813,0.10215506,0.13673171,-0.3509266,-0.5491381,-0.74169844,-0.7803097,0.037482824,-0.42728627,-0.588413,-0.74608207,-0.7813355,-0.45208353,-0.6036165,-0.7525065,-0.7864766,-0.24706125,-0.53208905,-0.5941826,-0.34243032,-0.4227697,-0.09543645
48,52,879.8181855,0.008384067,-0.45932916,-0.44271636,-0.23197238,-0.18167792,-0.68108386,-0.8212918,-0.92387086,-0.9392121,-0.4661703,-0.4497149,-0.24016389,-0.18992189,-0.6857736,-0.8241605,-0.925159,-0.94027776,0.020387623,0.2543521,0.3028625,-0.32373267,-0.5827219,-0.80831885,-0.8453354,0.23509175,0.28396317,-0.34176174,-0.59594834,-0.81517106,-0.8510179,0.052776415,-0.533747,-0.72831905,-0.8808616,-0.90464795,-0.5700131,-0.7517042,-0.8918681,-0.91352445,-0.31952786,-0.6572772,-0.7192036,-0.42857152,-0.520312,-0.11928039
47,53,820.0546314,-0.005181265,-0.47540468,-0.45862448,-0.3061137,-0.2581987,-0.69551975,-0.8142484,-0.90954566,-0.9264007,-0.47081652,-0.45371133,-0.30249634,-0.2547228,-0.69223285,-0.8110109,-0.90709543,-0.92436373,0.020576408,0.19465101,0.24120763,-0.329286,-0.56008637,-0.7752368,-0.8148575,0.17505746,0.22186068,-0.34738645,-0.57447344,-0.7840262,-0.8223757,0.050910357,-0.48812902,-0.66644007,-0.8248335,-0.8555899,-0.5224357,-0.6884012,-0.83504176,-0.86387295,-0.28405797,-0.60125494,-0.6655908,-0.39129457,-0.47982532,-0.1101512
