,plot_id,yield,blue-blue-444,blue-green,blue-green-531,blue-nir,blue-red,blue-red-650,blue-red-edge,blue-red-edge-705,blue-red-edge-740,blue-444-green,blue-444-green-531,blue-444-nir,blue-444-red,blue-444-red-650,blue-444-red-edge,blue-444-red-edge-705,blue-444-red-edge-740,green-green-531,green-nir,green-red,green-red-650,green-red-edge,green-red-edge-705,green-red-edge-740,green-531-nir,green-531-red,green-531-red-650,green-531-red-edge,green-531-red-edge-705,green-531-red-edge-740,nir-red,nir-red-650,nir-red-edge,nir-red-edge-705,nir-red-edge-740,red-red-650,red-red-edge,red-red-edge-705,red-red-edge-740,red-650-red-edge,red-650-red-edge-705,red-650-red-edge-740,red-edge-red-edge-705,red-edge-red-edge-740,red-edge-705-red-edge-740
10,25,853.4823341,0.014611866,-0.4184345,-0.43964988,-0.8901562,-0.28746673,-0.3273439,-0.77787125,-0.67617744,-0.8726145,-0.4315342,-0.45240015,-0.89524704,-0.2993177,-0.3393324,-0.7856846,-0.6851317,-0.8783586,-0.024843078,-0.77681947,0.14741836,0.108605996,-0.55044776,-0.36004418,-0.74265105,-0.76526403,0.17070729,0.1324156,-0.53202,-0.33833352,-0.72974956,0.78988963,0.78474754,0.41132244,0.5803162,0.08369147,-0.041882247,-0.61404127,-0.47000772,-0.7605061,-0.59751624,-0.4428817,-0.75409764,0.2381418,-0.34037977,-0.52476704
11,24,753.7656118,0.0010188926,-0.47217035,-0.48519439,-0.93696755,-0.20294157,-0.26347515,-0.82891923,-0.7025063,-0.92342633,-0.47303873,-0.4861075,-0.93733156,-0.20355482,-0.26409242,-0.82951033,-0.703049,-0.9238462,-0.016685402,-0.8371042,0.29627427,0.23818004,-0.5892657,-0.34521863,-0.8040914,-0.83184904,0.3114275,0.25384662,-0.57804155,-0.33043885,-0.79789394,0.903368,0.8926788,0.49272388,0.6924286,0.102665305,-0.063555114,-0.7488976,-0.5800272,-0.8831947,-0.7217065,-0.53770524,-0.8703244,0.30641204,-0.4114862,-0.6358131
12,23,807.4979214,0.022068448,-0.3940699,-0.41596246,-0.880754,-0.3022009,-0.32960042,-0.76265115,-0.65893036,-0.86024165,-0.41352543,-0.43518722,-0.88758,-0.32068312,-0.34831753,-0.77379656,-0.6724053,-0.86799896,-0.025223775,-0.77207595,0.10341264,0.07731936,-0.54542035,-0.3588135,-0.7342885,-0.75997883,0.1272812,0.101594426,-0.52653766,-0.3367785,-0.72067523,0.76721305,0.7661596,0.41038767,0.57428646,0.091048524,-0.028216194,-0.58029985,-0.43270504,-0.7324076,-0.5711973,-0.41536728,-0.7305427,0.23306166,-0.33313572,-0.5134354
13,22,554.56397,0.014120405,-0.42614612,-0.44322357,-0.90976113,-0.2632769,-0.3025851,-0.7952293,-0.67914605,-0.89341563,-0.4382026,-0.4551378,-0.91323996,-0.2753416,-0.31451082,-0.80154115,-0.6872545,-0.89746153,-0.020387147,-0.804068,0.18029454,0.14207959,-0.5688339,-0.3559832,-0.77034795,-0.79583967,0.19950746,0.1616722,-0.5543143,-0.33822903,-0.76095504,0.83540314,0.82921124,0.44420907,0.62853795,0.090822175,-0.041108806,-0.65821147,-0.49609303,-0.8082016,-0.6410672,-0.46869007,-0.800693,0.2672147,-0.36911374,-0.5721986
14,21,589.6711491,-0.012267852,-0.44669086,-0.45436135,-0.90706635,-0.26871842,-0.3249459,-0.7941761,-0.68264776,-0.89004713,-0.4394296,-0.44532952,-0.90689695,-0.25599456,-0.314333,-0.79050034,-0.674726,-0.88960946,-0.009062483,-0.7938359,0.20016295,0.14275576,-0.55129015,-0.33693066,-0.75808,-0.7889238,0.20830385,0.15095451,-0.5438995,-0.3297512,-0.75281066,0.8281671,0.81444466,0.44317493,0.6222796,0.09136246,-0.062015228,-0.65239215,-0.49507874,-0.7994936,-0.6215007,-0.45062906,-0.7835226,0.26289874,-0.36771765,-0.56528467
15,20,588.7548723,-0.0005738455,-0.45513052,-0.46730635,-0.94065255,-0.180575,-0.23469685,-0.82850385,-0.69262296,-0.9266112,-0.45447314,-0.4667576,-0.94052124,-0.17989035,-0.23393764,-0.8281982,-0.6920987,-0.9264869,-0.015210206,-0.85011613,0.29883125,0.2468716,-0.60042155,-0.3472927,-0.8164096,-0.84570134,0.31276536,0.26120305,-0.5904582,-0.33380988,-0.81120956,0.9153308,0.9060473,0.51215345,0.71414053,0.11190387,-0.056576084,-0.76110315,-0.58477837,-0.8954909,-0.73688394,-0.5469516,-0.884113,0.31998906,-0.42527345,-0.65533036
16,17,832.1739777,0.0007281213,-0.45903394,-0.47237855,-0.94027376,-0.17960209,-0.23752517,-0.82882035,-0.6945382,-0.9262985,-0.45959628,-0.472993,-0.94036955,-0.18011877,-0.23804857,-0.82905805,-0.69484305,-0.9264672,-0.016699217,-0.84833616,0.30402038,0.24866451,-0.5984297,-0.34620807,-0.81473356,-0.8434077,0.3191063,0.2643592,-0.587505,-0.33141616,-0.8089499,0.9145303,0.904627,0.51004404,0.71160865,0.11053092,-0.06041662,-0.76133925,-0.58743715,-0.894711,-0.7356737,-0.5471704,-0.88269955,0.318307,-0.42410395,-0.6532024
17,15,802.5097891,0.0009389864,-0.46756548,-0.47697595,-0.94311744,-0.17107846,-0.2326417,-0.833245,-0.69843704,-0.9292225,-0.46851015,-0.47771326,-0.94319266,-0.17190164,-0.23355813,-0.8333454,-0.6986792,-0.9293635,-0.01169183,-0.85182136,0.32254443,0.26413947,-0.59986585,-0.34283695,-0.8175567,-0.8484267,0.33315364,0.27501056,-0.5922667,-0.33252853,-0.813463,0.9207268,0.9105828,0.51736224,0.71967655,0.11517258,-0.06426746,-0.77212536,-0.5988149,-0.9015173,-0.7451848,-0.5562984,-0.8890579,0.3240627,-0.42862144,-0.6601698
18,13,617.3453332,0.011166862,-0.41337615,-0.44124463,-0.90530586,-0.2618822,-0.29291102,-0.78890246,-0.67204154,-0.8888114,-0.4232128,-0.45065585,-0.90814966,-0.2714493,-0.3025357,-0.7939198,-0.6786804,-0.89197344,-0.033280548,-0.8007709,0.16754824,0.13730797,-0.5675702,-0.35872367,-0.7673591,-0.7872226,0.19904068,0.16933699,-0.5437745,-0.32939583,-0.75205463,0.8289075,0.8248223,0.43974757,0.6218972,0.08860015,-0.032336604,-0.6508842,-0.48874137,-0.8018243,-0.6379349,-0.4675082,-0.7967433,0.26298976,-0.36621878,-0.5663037
19,38,882.1646414,0.01599806,-0.4394191,-0.45961657,-0.9086599,-0.25665766,-0.3021385,-0.7978032,-0.6908204,-0.890617,-0.45331585,-0.47309583,-0.9131836,-0.2699948,-0.31563017,-0.8054496,-0.70003444,-0.8959274,-0.024053382,-0.8010321,0.20317005,0.16008534,-0.5669502,-0.36146778,-0.76426023,-0.79100317,0.22536533,0.1829087,-0.54956925,-0.3403614,-0.75271374,0.83216554,0.8266645,0.44131893,0.61960715,0.09653182,-0.047349542,-0.6630768,-0.5153349,-0.80245984,-0.64531714,-0.48578742,-0.7955781,0.25902072,-0.36098415,-0.5582887
