,plot_id,blue-blue_444,blue-green,blue-green_531,blue-red_650,blue-red,blue-red_edge_705,blue-red_edge,blue-red_edge_740,blue-nir,blue_444-green,blue_444-green_531,blue_444-red_650,blue_444-red,blue_444-red_edge_705,blue_444-red_edge,blue_444-red_edge_740,blue_444-nir,green-green_531,green-red_650,green-red,green-red_edge_705,green-red_edge,green-red_edge_740,green-nir,green_531-red_650,green_531-red,green_531-red_edge_705,green_531-red_edge,green_531-red_edge_740,green_531-nir,red_650-red,red_650-red_edge_705,red_650-red_edge,red_650-red_edge_740,red_650-nir,red-red_edge_705,red-red_edge,red-red_edge_740,red-nir,red_edge_705-red_edge,red_edge_705-red_edge_740,red_edge_705-nir,red_edge-red_edge_740,red_edge-nir,red_edge_740-nir
10,10,-0.012696164,-0.45408076,-0.42892325,-0.32807222,-0.29824442,-0.6801188,-0.7912924,-0.8870637,-0.90425444,-0.44293043,-0.4176254,-0.31755129,-0.28781873,-0.67242324,-0.78474295,-0.88237685,-0.9001791,0.030696299,0.14605722,0.17508441,-0.32772383,-0.53750485,-0.7429452,-0.78004235,0.11666061,0.14611448,-0.35475826,-0.5593747,-0.7570602,-0.79246885,0.031472277,-0.44569784,-0.614384,-0.77475905,-0.8058696,-0.46715358,-0.6279339,-0.7805592,-0.8106159,-0.25621283,-0.55254656,-0.61090434,-0.35663298,-0.43325335,-0.091950186
11,11,0.0010985462,-0.47651425,-0.4589927,-0.2667902,-0.22108996,-0.6966455,-0.82509524,-0.9200819,-0.9335287,-0.47724807,-0.45981166,-0.26801988,-0.22242218,-0.6972939,-0.8252397,-0.92005056,-0.9334802,0.022194259,0.23945776,0.2837704,-0.3303177,-0.5762218,-0.7921811,-0.8252336,0.21845728,0.26328507,-0.34999216,-0.59103876,-0.8004142,-0.8322468,0.048174735,-0.5270563,-0.7140839,-0.86413294,-0.88650745,-0.5602676,-0.73576206,-0.8749597,-0.89564425,-0.30397314,-0.6264362,-0.6812955,-0.4001607,-0.4780394,-0.09707809
12,12,-0.013180811,-0.45775607,-0.43170097,-0.33660075,-0.305181,-0.6832437,-0.7857117,-0.8762409,-0.8920287,-0.4462194,-0.41984832,-0.3257568,-0.2944545,-0.6750537,-0.77867115,-0.8710476,-0.8873728,0.03155386,0.14234725,0.17266734,-0.32955673,-0.52621555,-0.7209287,-0.75446486,0.11209941,0.14294018,-0.35737738,-0.5493142,-0.7368108,-0.76873136,0.033113226,-0.44347563,-0.60071075,-0.75294137,-0.78127176,-0.4653375,-0.6144391,-0.7589303,-0.7863264,-0.23975748,-0.51838243,-0.57001966,-0.32924533,-0.39482725,-0.07648811
13,13,-0.011288373,-0.4511082,-0.42379308,-0.3027677,-0.27152938,-0.679063,-0.79419637,-0.8920644,-0.9082928,-0.44159216,-0.41380134,-0.29305026,-0.26189256,-0.6723483,-0.78916997,-0.8889406,-0.90546054,0.033166036,0.169655,0.19951926,-0.32956886,-0.5440595,-0.7521945,-0.7874853,0.13773473,0.16814825,-0.3588013,-0.5677982,-0.767455,-0.8010041,0.03253549,-0.46791232,-0.6383166,-0.7969079,-0.82507163,-0.48921576,-0.6513207,-0.80202293,-0.8291821,-0.2632469,-0.56653196,-0.6222941,-0.3664214,-0.44016653,-0.088887736
14,14,-0.014713015,-0.4625784,-0.44237882,-0.31772208,-0.27742225,-0.6894177,-0.8004191,-0.89596796,-0.91287446,-0.45065883,-0.42933077,-0.3057063,-0.26504114,-0.6808101,-0.793474,-0.8915206,-0.90899897,0.02503859,0.1682164,0.20691463,-0.3336938,-0.548232,-0.7580098,-0.7954153,0.14418721,0.18345214,-0.35565722,-0.56641084,-0.769612,-0.8056395,0.042628996,-0.46894652,-0.63717663,-0.79641604,-0.826848,-0.4968734,-0.654475,-0.80366373,-0.8327096,-0.26451594,-0.5720458,-0.63210905,-0.3736312,-0.45387074,-0.09804516
15,15,-0.0011348501,-0.47814968,-0.4693001,-0.23455055,-0.17285186,-0.69927317,-0.8336859,-0.9295361,-0.9433116,-0.47723007,-0.46810243,-0.23339695,-0.17184024,-0.6990064,-0.83358294,-0.9293605,-0.9432217,0.011244657,0.27461904,0.33286577,-0.3331264,-0.5927965,-0.81382257,-0.8487143,0.2641885,0.32262802,-0.34304208,-0.600146,-0.81785303,-0.8520583,0.064348176,-0.55646986,-0.74535817,-0.889217,-0.91071224,-0.5990426,-0.77232033,-0.9016529,-0.9208395,-0.32434574,-0.6605611,-0.7200359,-0.4290547,-0.517834,-0.115420915
16,16,-0.010690776,-0.46473736,-0.44385916,-0.3077992,-0.26402342,-0.691615,-0.8024036,-0.8971851,-0.91412604,-0.45552084,-0.4344128,-0.29898825,-0.25528097,-0.68530494,-0.79700565,-0.8934592,-0.9109453,0.025205364,0.18071002,0.22206509,-0.33513886,-0.55051535,-0.7594958,-0.7970455,0.15670873,0.19862175,-0.35716203,-0.56867456,-0.7714019,-0.8074179,0.045690823,-0.48024565,-0.6453283,-0.8010305,-0.83119345,-0.5096098,-0.66357833,-0.8085695,-0.83732677,-0.2657118,-0.57292056,-0.6331392,-0.37373224,-0.4542021,-0.09796073
17,17,-0.0009004978,-0.47362018,-0.46038216,-0.2389889,-0.18097152,-0.6954213,-0.82942563,-0.92661524,-0.94047457,-0.47285914,-0.4597069,-0.23831879,-0.18031469,-0.6950592,-0.8291547,-0.926423,-0.94037145,0.016397288,0.2641756,0.31898108,-0.33188003,-0.58795077,-0.8092362,-0.8436365,0.24875876,0.3042109,-0.3464179,-0.5986919,-0.8149391,-0.8485371,0.06052927,-0.54738533,-0.7358394,-0.88280046,-0.90472054,-0.5876797,-0.76149535,-0.8947863,-0.9146131,-0.31849858,-0.65350807,-0.71193683,-0.42446867,-0.51051253,-0.11081542
18,18,-0.015574878,-0.4277453,-0.4067298,-0.3208685,-0.28979373,-0.667074,-0.78021365,-0.8803915,-0.90056664,-0.414375,-0.39289135,-0.307504,-0.27668154,-0.65760237,-0.7726704,-0.87522906,-0.89608145,0.024560425,0.121953726,0.15208273,-0.3363709,-0.54256046,-0.74613285,-0.78718275,0.09828742,0.12872434,-0.357956,-0.56040126,-0.75813586,-0.7976478,0.032572843,-0.4328742,-0.6012287,-0.765815,-0.80189824,-0.45491853,-0.61491346,-0.77156615,-0.80640525,-0.25441936,-0.5530126,-0.618442,-0.3613018,-0.44775513,-0.10525631
19,19,-0.008384383,-0.48083577,-0.46894658,-0.2896818,-0.2363707,-0.70337737,-0.82529324,-0.9190848,-0.934463,-0.4742106,-0.462104,-0.28267133,-0.2289941,-0.69911677,-0.82204753,-0.9172376,-0.9330011,0.014886056,0.22057422,0.27179193,-0.3367375,-0.57665026,-0.79255956,-0.8297538,0.20639414,0.25801477,-0.3498479,-0.58696204,-0.79864824,-0.8348981,0.056597203,-0.5160105,-0.6980211,-0.85152453,-0.87881064,-0.5533581,-0.72197175,-0.8627706,-0.8880319,-0.2983615,-0.62257403,-0.6849294,-0.40368336,-0.49151406,-0.110238574
